"age","year","unit","season","area","iter","data"
all,1990,"1","1","unique","1",750.287777532542
all,1991,"1","1","unique","1",406.563793865968
all,1992,"1","1","unique","1",204.579972865519
all,1993,"1","1","unique","1",203.277528764272
all,1994,"1","1","unique","1",321.685108175774
all,1995,"1","1","unique","1",442.520544087156
all,1996,"1","1","unique","1",478.748578258257
all,1997,"1","1","unique","1",406.60913390624
all,1998,"1","1","unique","1",265.945584164299
all,1999,"1","1","unique","1",247.428155812781
all,2000,"1","1","unique","1",168.666095067
all,2001,"1","1","unique","1",264.572691469731
all,2002,"1","1","unique","1",352.803583749708
all,2003,"1","1","unique","1",490.154962287139
all,2004,"1","1","unique","1",632.976818169511
all,2005,"1","1","unique","1",493.685930854162
all,2006,"1","1","unique","1",531.78278492949
all,2007,"1","1","unique","1",592.596581346083
all,2008,"1","1","unique","1",538.679489875317
all,1990,"1","2","unique","1",446.850915770199
all,1991,"1","2","unique","1",271.300802153563
all,1992,"1","2","unique","1",227.476631195309
all,1993,"1","2","unique","1",217.809124834574
all,1994,"1","2","unique","1",282.146671051435
all,1995,"1","2","unique","1",540.942269240011
all,1996,"1","2","unique","1",375.737564885662
all,1997,"1","2","unique","1",383.473523687089
all,1998,"1","2","unique","1",266.833923956315
all,1999,"1","2","unique","1",234.490980759269
all,2000,"1","2","unique","1",159.770861854323
all,2001,"1","2","unique","1",249.105791660484
all,2002,"1","2","unique","1",331.942050111539
all,2003,"1","2","unique","1",462.413264069931
all,2004,"1","2","unique","1",597.182345317318
all,2005,"1","2","unique","1",464.993010330864
all,2006,"1","2","unique","1",502.85127023758
all,2007,"1","2","unique","1",560.56939631673
all,2008,"1","2","unique","1",513.237238544614
all,1990,"1","3","unique","1",499.592064906121
all,1991,"1","3","unique","1",331.427295056002
all,1992,"1","3","unique","1",197.042185469883
all,1993,"1","3","unique","1",249.120262056126
all,1994,"1","3","unique","1",364.359227964419
all,1995,"1","3","unique","1",434.92345935196
all,1996,"1","3","unique","1",430.095197829993
all,1997,"1","3","unique","1",408.18522767322
all,1998,"1","3","unique","1",338.602573637928
all,1999,"1","3","unique","1",253.495240989384
all,2000,"1","3","unique","1",172.83674403839
all,2001,"1","3","unique","1",271.806723739881
all,2002,"1","3","unique","1",362.558228245096
all,2003,"1","3","unique","1",503.139746591896
all,2004,"1","3","unique","1",649.731121836491
all,2005,"1","3","unique","1",507.107697056668
all,2006,"1","3","unique","1",545.337275880117
all,2007,"1","3","unique","1",607.603832963795
all,2008,"1","3","unique","1",550.643379493224
all,1990,"1","4","unique","1",473.071764589886
all,1991,"1","4","unique","1",363.236616403851
all,1992,"1","4","unique","1",182.770559874403
all,1993,"1","4","unique","1",283.512949732915
all,1994,"1","4","unique","1",334.731161651413
all,1995,"1","4","unique","1",482.593228363372
all,1996,"1","4","unique","1",490.151918816296
all,1997,"1","4","unique","1",515.371465408927
all,1998,"1","4","unique","1",265.441888470138
all,1999,"1","4","unique","1",250.184316507712
all,2000,"1","4","unique","1",170.643758768391
all,2001,"1","4","unique","1",269.637050665134
all,2002,"1","4","unique","1",359.86361097231
all,2003,"1","4","unique","1",498.354185790717
all,2004,"1","4","unique","1",643.525434708852
all,2005,"1","4","unique","1",502.918221126734
all,2006,"1","4","unique","1",539.166584647789
all,2007,"1","4","unique","1",600.548813813371
all,2008,"1","4","unique","1",541.149574681795
