quant,year,unit,season,area,iter,data
all,1990,unique,1,unique,1,0
all,1991,unique,1,unique,1,0
all,1992,unique,1,unique,1,0
all,1993,unique,1,unique,1,0
all,1994,unique,1,unique,1,0
all,1995,unique,1,unique,1,0
all,1996,unique,1,unique,1,0
all,1997,unique,1,unique,1,0
all,1998,unique,1,unique,1,0
all,1999,unique,1,unique,1,0
all,2000,unique,1,unique,1,0
all,2001,unique,1,unique,1,26077.68284
all,2002,unique,1,unique,1,22060.03436
all,2003,unique,1,unique,1,19653.54658
all,2004,unique,1,unique,1,24876.1526
all,2005,unique,1,unique,1,27229.37302
all,2006,unique,1,unique,1,8819.517127
all,2007,unique,1,unique,1,5536.879979
all,2008,unique,1,unique,1,4383.582578
all,1990,unique,2,unique,1,0
all,1991,unique,2,unique,1,0
all,1992,unique,2,unique,1,0
all,1993,unique,2,unique,1,0
all,1994,unique,2,unique,1,0
all,1995,unique,2,unique,1,0
all,1996,unique,2,unique,1,0
all,1997,unique,2,unique,1,0
all,1998,unique,2,unique,1,0
all,1999,unique,2,unique,1,0
all,2000,unique,2,unique,1,0
all,2001,unique,2,unique,1,28518.28355
all,2002,unique,2,unique,1,20650.99548
all,2003,unique,2,unique,1,24995.61176
all,2004,unique,2,unique,1,27968.30728
all,2005,unique,2,unique,1,34492.15368
all,2006,unique,2,unique,1,6886.958176
all,2007,unique,2,unique,1,4589.559814
all,2008,unique,2,unique,1,2010.849816
all,1990,unique,3,unique,1,0
all,1991,unique,3,unique,1,0
all,1992,unique,3,unique,1,0
all,1993,unique,3,unique,1,0
all,1994,unique,3,unique,1,0
all,1995,unique,3,unique,1,0
all,1996,unique,3,unique,1,0
all,1997,unique,3,unique,1,0
all,1998,unique,3,unique,1,0
all,1999,unique,3,unique,1,0
all,2000,unique,3,unique,1,0
all,2001,unique,3,unique,1,25784.40124
all,2002,unique,3,unique,1,22852.87313
all,2003,unique,3,unique,1,26432.14058
all,2004,unique,3,unique,1,29213.2547
all,2005,unique,3,unique,1,30339.68032
all,2006,unique,3,unique,1,4365.512517
all,2007,unique,3,unique,1,4197.338639
all,2008,unique,3,unique,1,1834.612328
all,1990,unique,4,unique,1,0
all,1991,unique,4,unique,1,0
all,1992,unique,4,unique,1,0
all,1993,unique,4,unique,1,0
all,1994,unique,4,unique,1,0
all,1995,unique,4,unique,1,0
all,1996,unique,4,unique,1,0
all,1997,unique,4,unique,1,0
all,1998,unique,4,unique,1,0
all,1999,unique,4,unique,1,0
all,2000,unique,4,unique,1,0
all,2001,unique,4,unique,1,21717.7228
all,2002,unique,4,unique,1,21307.36878
all,2003,unique,4,unique,1,28504.3231
all,2004,unique,4,unique,1,28782.58012
all,2005,unique,4,unique,1,29168.37338
all,2006,unique,4,unique,1,5916.142545
all,2007,unique,4,unique,1,4033.603008
all,2008,unique,4,unique,1,2460.61076
