quant,year,unit,season,area,iter,data
all,1990,unique,1,unique,1,0
all,1991,unique,1,unique,1,0
all,1992,unique,1,unique,1,0
all,1993,unique,1,unique,1,0
all,1994,unique,1,unique,1,0
all,1995,unique,1,unique,1,0
all,1996,unique,1,unique,1,0
all,1997,unique,1,unique,1,0
all,1998,unique,1,unique,1,0
all,1999,unique,1,unique,1,27550.415
all,2000,unique,1,unique,1,20965.00223
all,2001,unique,1,unique,1,17385.12189
all,2002,unique,1,unique,1,14706.68957
all,2003,unique,1,unique,1,13102.36439
all,2004,unique,1,unique,1,16584.10173
all,2005,unique,1,unique,1,18152.91535
all,2006,unique,1,unique,1,5879.678085
all,2007,unique,1,unique,1,3691.253319
all,2008,unique,1,unique,1,2922.388385
all,1990,unique,2,unique,1,0
all,1991,unique,2,unique,1,0
all,1992,unique,2,unique,1,0
all,1993,unique,2,unique,1,0
all,1994,unique,2,unique,1,0
all,1995,unique,2,unique,1,0
all,1996,unique,2,unique,1,0
all,1997,unique,2,unique,1,0
all,1998,unique,2,unique,1,0
all,1999,unique,2,unique,1,28145.15176
all,2000,unique,2,unique,1,11305.69715
all,2001,unique,2,unique,1,19012.18903
all,2002,unique,2,unique,1,13767.33032
all,2003,unique,2,unique,1,16663.74117
all,2004,unique,2,unique,1,18645.53819
all,2005,unique,2,unique,1,22994.76912
all,2006,unique,2,unique,1,4591.30545
all,2007,unique,2,unique,1,3059.706542
all,2008,unique,2,unique,1,1340.566544
all,1990,unique,3,unique,1,0
all,1991,unique,3,unique,1,0
all,1992,unique,3,unique,1,0
all,1993,unique,3,unique,1,0
all,1994,unique,3,unique,1,0
all,1995,unique,3,unique,1,0
all,1996,unique,3,unique,1,0
all,1997,unique,3,unique,1,0
all,1998,unique,3,unique,1,0
all,1999,unique,3,unique,1,28130.2725
all,2000,unique,3,unique,1,13482.76754
all,2001,unique,3,unique,1,17189.60083
all,2002,unique,3,unique,1,15235.24876
all,2003,unique,3,unique,1,17621.42705
all,2004,unique,3,unique,1,19475.50314
all,2005,unique,3,unique,1,20226.45354
all,2006,unique,3,unique,1,2910.341678
all,2007,unique,3,unique,1,2798.225759
all,2008,unique,3,unique,1,1223.074885
all,1990,unique,4,unique,1,0
all,1991,unique,4,unique,1,0
all,1992,unique,4,unique,1,0
all,1993,unique,4,unique,1,0
all,1994,unique,4,unique,1,0
all,1995,unique,4,unique,1,0
all,1996,unique,4,unique,1,0
all,1997,unique,4,unique,1,0
all,1998,unique,4,unique,1,0
all,1999,unique,4,unique,1,31500.1432
all,2000,unique,4,unique,1,19265.4143
all,2001,unique,4,unique,1,14478.48187
all,2002,unique,4,unique,1,14204.91252
all,2003,unique,4,unique,1,19002.88206
all,2004,unique,4,unique,1,19188.38675
all,2005,unique,4,unique,1,19445.58226
all,2006,unique,4,unique,1,3944.09503
all,2007,unique,4,unique,1,2689.068672
all,2008,unique,4,unique,1,1640.407173
