"quant","year","unit","season","area","iter","data"
"all",1990,"unique","1","unique","1",0
"all",1991,"unique","1","unique","1",0
"all",1992,"unique","1","unique","1",0
"all",1993,"unique","1","unique","1",0
"all",1994,"unique","1","unique","1",0
"all",1995,"unique","1","unique","1",0
"all",1996,"unique","1","unique","1",0
"all",1997,"unique","1","unique","1",0
"all",1998,"unique","1","unique","1",0
"all",1999,"unique","1","unique","1",0
"all",2000,"unique","1","unique","1",0
"all",2001,"unique","1","unique","1",0.769012307
"all",2002,"unique","1","unique","1",0.71692607
"all",2003,"unique","1","unique","1",0.827697262
"all",2004,"unique","1","unique","1",0.729639272
"all",2005,"unique","1","unique","1",0.833798326
"all",2006,"unique","1","unique","1",0
"all",2007,"unique","1","unique","1",0.475373547
"all",2008,"unique","1","unique","1",0.670447761
"all",1990,"unique","2","unique","1",0
"all",1991,"unique","2","unique","1",0
"all",1992,"unique","2","unique","1",0
"all",1993,"unique","2","unique","1",0
"all",1994,"unique","2","unique","1",0
"all",1995,"unique","2","unique","1",0
"all",1996,"unique","2","unique","1",0
"all",1997,"unique","2","unique","1",0
"all",1998,"unique","2","unique","1",0
"all",1999,"unique","2","unique","1",0
"all",2000,"unique","2","unique","1",0
"all",2001,"unique","2","unique","1",0.548257786
"all",2002,"unique","2","unique","1",0.710534259
"all",2003,"unique","2","unique","1",0.808540427
"all",2004,"unique","2","unique","1",0.796958175
"all",2005,"unique","2","unique","1",0.764492753
"all",2006,"unique","2","unique","1",0.132216015
"all",2007,"unique","2","unique","1",0.78962963
"all",2008,"unique","2","unique","1",0.845165652
"all",1990,"unique","3","unique","1",0
"all",1991,"unique","3","unique","1",0
"all",1992,"unique","3","unique","1",0
"all",1993,"unique","3","unique","1",0
"all",1994,"unique","3","unique","1",0
"all",1995,"unique","3","unique","1",0
"all",1996,"unique","3","unique","1",0
"all",1997,"unique","3","unique","1",0
"all",1998,"unique","3","unique","1",0
"all",1999,"unique","3","unique","1",0
"all",2000,"unique","3","unique","1",0
"all",2001,"unique","3","unique","1",0.594801223
"all",2002,"unique","3","unique","1",0.691224269
"all",2003,"unique","3","unique","1",0.663358779
"all",2004,"unique","3","unique","1",0.757449757
"all",2005,"unique","3","unique","1",0.823000899
"all",2006,"unique","3","unique","1",0.066350711
"all",2007,"unique","3","unique","1",0.679050568
"all",2008,"unique","3","unique","1",0.837313433
"all",1990,"unique","4","unique","1",0
"all",1991,"unique","4","unique","1",0
"all",1992,"unique","4","unique","1",0
"all",1993,"unique","4","unique","1",0
"all",1994,"unique","4","unique","1",0
"all",1995,"unique","4","unique","1",0
"all",1996,"unique","4","unique","1",0
"all",1997,"unique","4","unique","1",0
"all",1998,"unique","4","unique","1",0
"all",1999,"unique","4","unique","1",0
"all",2000,"unique","4","unique","1",0
"all",2001,"unique","4","unique","1",0.704628501
"all",2002,"unique","4","unique","1",0.730862698
"all",2003,"unique","4","unique","1",0.695278969
"all",2004,"unique","4","unique","1",0.588975694
"all",2005,"unique","4","unique","1",0.528925619
"all",2006,"unique","4","unique","1",0
"all",2007,"unique","4","unique","1",0.931230284
"all",2008,"unique","4","unique","1",0.357549858
