"age","year","unit","season","area","iter","data"
"all",1990,"unique","1","unique","1",0
"all",1991,"unique","1","unique","1",0
"all",1992,"unique","1","unique","1",0
"all",1993,"unique","1","unique","1",0
"all",1994,"unique","1","unique","1",0
"all",1995,"unique","1","unique","1",0
"all",1996,"unique","1","unique","1",0
"all",1997,"unique","1","unique","1",0
"all",1998,"unique","1","unique","1",0
"all",1999,"unique","1","unique","1",0
"all",2000,"unique","1","unique","1",0
"all",2001,"unique","1","unique","1",4121
"all",2002,"unique","1","unique","1",3766
"all",2003,"unique","1","unique","1",3946
"all",2004,"unique","1","unique","1",4563
"all",2005,"unique","1","unique","1",4238
"all",2006,"unique","1","unique","1",5879.67808470622
"all",2007,"unique","1","unique","1",3691.2533190997
"all",2008,"unique","1","unique","1",2922.38838546893
"all",1990,"unique","2","unique","1",0
"all",1991,"unique","2","unique","1",0
"all",1992,"unique","2","unique","1",0
"all",1993,"unique","2","unique","1",0
"all",1994,"unique","2","unique","1",0
"all",1995,"unique","2","unique","1",0
"all",1996,"unique","2","unique","1",0
"all",1997,"unique","2","unique","1",0
"all",1998,"unique","2","unique","1",0
"all",1999,"unique","2","unique","1",0
"all",2000,"unique","2","unique","1",0
"all",2001,"unique","2","unique","1",4272
"all",2002,"unique","2","unique","1",3768
"all",2003,"unique","2","unique","1",4301
"all",2004,"unique","2","unique","1",4591
"all",2005,"unique","2","unique","1",4586
"all",2006,"unique","2","unique","1",4591.305450356
"all",2007,"unique","2","unique","1",3059.70654245143
"all",2008,"unique","2","unique","1",1340.56654384367
"all",1990,"unique","3","unique","1",0
"all",1991,"unique","3","unique","1",0
"all",1992,"unique","3","unique","1",0
"all",1993,"unique","3","unique","1",0
"all",1994,"unique","3","unique","1",0
"all",1995,"unique","3","unique","1",0
"all",1996,"unique","3","unique","1",0
"all",1997,"unique","3","unique","1",0
"all",1998,"unique","3","unique","1",0
"all",1999,"unique","3","unique","1",0
"all",2000,"unique","3","unique","1",0
"all",2001,"unique","3","unique","1",4319
"all",2002,"unique","3","unique","1",3411
"all",2003,"unique","3","unique","1",4309
"all",2004,"unique","3","unique","1",4476
"all",2005,"unique","3","unique","1",4620
"all",2006,"unique","3","unique","1",2910.34167791637
"all",2007,"unique","3","unique","1",2798.22575911426
"all",2008,"unique","3","unique","1",1223.07488527773
"all",1990,"unique","4","unique","1",0
"all",1991,"unique","4","unique","1",0
"all",1992,"unique","4","unique","1",0
"all",1993,"unique","4","unique","1",0
"all",1994,"unique","4","unique","1",0
"all",1995,"unique","4","unique","1",0
"all",1996,"unique","4","unique","1",0
"all",1997,"unique","4","unique","1",0
"all",1998,"unique","4","unique","1",0
"all",1999,"unique","4","unique","1",0
"all",2000,"unique","4","unique","1",0
"all",2001,"unique","4","unique","1",3638
"all",2002,"unique","4","unique","1",3566
"all",2003,"unique","4","unique","1",4668
"all",2004,"unique","4","unique","1",4728
"all",2005,"unique","4","unique","1",3734
"all",2006,"unique","4","unique","1",3944.09503012138
"all",2007,"unique","4","unique","1",2689.06867225818
"all",2008,"unique","4","unique","1",1640.4071733289
