"age","year","unit","season","area","iter","data"
0,1990,"1","1","unique","1",0.000431087854042722
1,1990,"1","1","unique","1",0.0258884035800632
2,1990,"1","1","unique","1",0.412340899991535
3,1990,"1","1","unique","1",0.911619996670982
4,1990,"1","1","unique","1",0.991411719602238
5,1990,"1","1","unique","1",0.998839999568536
6,1990,"1","1","unique","1",0.999739514794507
7,1990,"1","1","unique","1",0.999924033831233
8,1990,"1","1","unique","1",0.999976266133016
9,1990,"1","1","unique","1",0.999991948290948
10,1990,"1","1","unique","1",0.99999686775409
11,1990,"1","1","unique","1",0.999998586111672
12,1990,"1","1","unique","1",0.999999269696448
13,1990,"1","1","unique","1",0.99999957712663
14,1990,"1","1","unique","1",0.999999730848135
15,1990,"1","1","unique","1",0.999999843031925
0,1991,"1","1","unique","1",0.000429084333178421
1,1991,"1","1","unique","1",0.0236032376215114
2,1991,"1","1","unique","1",0.413735984699015
3,1991,"1","1","unique","1",0.922217201033667
4,1991,"1","1","unique","1",0.991828176066814
5,1991,"1","1","unique","1",0.998834362425554
6,1991,"1","1","unique","1",0.999737117791275
7,1991,"1","1","unique","1",0.999923760215822
8,1991,"1","1","unique","1",0.999976118671328
9,1991,"1","1","unique","1",0.999991834579403
10,1991,"1","1","unique","1",0.999996797841398
11,1991,"1","1","unique","1",0.999998544516465
12,1991,"1","1","unique","1",0.999999243854428
13,1991,"1","1","unique","1",0.999999560050669
14,1991,"1","1","unique","1",0.999999718857503
15,1991,"1","1","unique","1",0.999999835018847
0,1992,"1","1","unique","1",0.000424042914806382
1,1992,"1","1","unique","1",0.0229413006559411
2,1992,"1","1","unique","1",0.393085676283059
3,1992,"1","1","unique","1",0.913537997711253
4,1992,"1","1","unique","1",0.99220388776379
5,1992,"1","1","unique","1",0.998946239329022
6,1992,"1","1","unique","1",0.999758580764387
7,1992,"1","1","unique","1",0.999928086492264
8,1992,"1","1","unique","1",0.999976942805657
9,1992,"1","1","unique","1",0.999991972465427
10,1992,"1","1","unique","1",0.999996810805015
11,1992,"1","1","unique","1",0.999998537265903
12,1992,"1","1","unique","1",0.999999235246996
13,1992,"1","1","unique","1",0.999999552990391
14,1992,"1","1","unique","1",0.999999713360141
15,1992,"1","1","unique","1",0.999999831095578
0,1993,"1","1","unique","1",0.000442167263595772
1,1993,"1","1","unique","1",0.0213666113620748
2,1993,"1","1","unique","1",0.374016356404632
3,1993,"1","1","unique","1",0.902319798663003
4,1993,"1","1","unique","1",0.990822126465126
5,1993,"1","1","unique","1",0.998841529970377
6,1993,"1","1","unique","1",0.999753669599179
7,1993,"1","1","unique","1",0.999930223998139
8,1993,"1","1","unique","1",0.999978215141208
9,1993,"1","1","unique","1",0.999992486023423
10,1993,"1","1","unique","1",0.999997015667079
11,1993,"1","1","unique","1",0.999998626494713
12,1993,"1","1","unique","1",0.999999278578535
13,1993,"1","1","unique","1",0.999999576348957
14,1993,"1","1","unique","1",0.999999727179073
15,1993,"1","1","unique","1",0.999999837452808
0,1994,"1","1","unique","1",0.000415574309737383
1,1994,"1","1","unique","1",0.0325030485399642
2,1994,"1","1","unique","1",0.42881273021958
3,1994,"1","1","unique","1",0.887719118343847
4,1994,"1","1","unique","1",0.988060524912426
5,1994,"1","1","unique","1",0.998501564169253
6,1994,"1","1","unique","1",0.999700801287514
7,1994,"1","1","unique","1",0.999921340452507
8,1994,"1","1","unique","1",0.999976973946694
9,1994,"1","1","unique","1",0.999992405113059
10,1994,"1","1","unique","1",0.999997066576775
11,1994,"1","1","unique","1",0.99999867262892
12,1994,"1","1","unique","1",0.999999309904993
13,1994,"1","1","unique","1",0.999999597210285
14,1994,"1","1","unique","1",0.999999741534951
15,1994,"1","1","unique","1",0.99999984668191
0,1995,"1","1","unique","1",0.00042671146127422
1,1995,"1","1","unique","1",0.0182257155965269
2,1995,"1","1","unique","1",0.428925238204454
3,1995,"1","1","unique","1",0.952074804767114
4,1995,"1","1","unique","1",0.99284281094644
5,1995,"1","1","unique","1",0.998634886041774
6,1995,"1","1","unique","1",0.999664560544597
7,1995,"1","1","unique","1",0.99990466253631
8,1995,"1","1","unique","1",0.999971781839174
9,1995,"1","1","unique","1",0.999990866868472
10,1995,"1","1","unique","1",0.999996565575099
11,1995,"1","1","unique","1",0.999998485203272
12,1995,"1","1","unique","1",0.999999229576026
13,1995,"1","1","unique","1",0.999999558404698
14,1995,"1","1","unique","1",0.999999720778085
15,1995,"1","1","unique","1",0.999999839931555
0,1996,"1","1","unique","1",0.00043833962388896
1,1996,"1","1","unique","1",0.0218138134426764
2,1996,"1","1","unique","1",0.334853792420102
3,1996,"1","1","unique","1",0.884794362721517
4,1996,"1","1","unique","1",0.993905797349173
5,1996,"1","1","unique","1",0.999261547634197
6,1996,"1","1","unique","1",0.99980373127081
7,1996,"1","1","unique","1",0.999930678247585
8,1996,"1","1","unique","1",0.999974986190741
9,1996,"1","1","unique","1",0.999990757499906
10,1996,"1","1","unique","1",0.999996245404477
11,1996,"1","1","unique","1",0.999998271975006
12,1996,"1","1","unique","1",0.999999101388656
13,1996,"1","1","unique","1",0.999999479544715
14,1996,"1","1","unique","1",0.999999669713118
15,1996,"1","1","unique","1",0.999999811077928
0,1997,"1","1","unique","1",0.000428594370052753
1,1997,"1","1","unique","1",0.0282812768638069
2,1997,"1","1","unique","1",0.406838747982956
3,1997,"1","1","unique","1",0.875031102300212
4,1997,"1","1","unique","1",0.986383515583577
5,1997,"1","1","unique","1",0.998645515084991
6,1997,"1","1","unique","1",0.999766073174029
7,1997,"1","1","unique","1",0.999938676070538
8,1997,"1","1","unique","1",0.999980592260338
9,1997,"1","1","unique","1",0.999993012459704
10,1997,"1","1","unique","1",0.999997106413941
11,1997,"1","1","unique","1",0.999998622891868
12,1997,"1","1","unique","1",0.999999258086993
13,1997,"1","1","unique","1",0.999999556032301
14,1997,"1","1","unique","1",0.999999710111232
15,1997,"1","1","unique","1",0.999999822361664
0,1998,"1","1","unique","1",0.000440142383247984
1,1998,"1","1","unique","1",0.0232968865741099
2,1998,"1","1","unique","1",0.428934847597089
3,1998,"1","1","unique","1",0.927948341757552
4,1998,"1","1","unique","1",0.989556377352782
5,1998,"1","1","unique","1",0.998255049301362
6,1998,"1","1","unique","1",0.99963779394494
7,1998,"1","1","unique","1",0.999912050195845
8,1998,"1","1","unique","1",0.99997639103271
9,1998,"1","1","unique","1",0.999992624858091
10,1998,"1","1","unique","1",0.999997227737803
11,1998,"1","1","unique","1",0.999998758508681
12,1998,"1","1","unique","1",0.999999355022402
13,1998,"1","1","unique","1",0.999999621848409
14,1998,"1","1","unique","1",0.999999755646488
15,1998,"1","1","unique","1",0.999999852721465
0,1999,"1","1","unique","1",0.000424837394743815
1,1999,"1","1","unique","1",0.0297354783041838
2,1999,"1","1","unique","1",0.432551979857983
3,1999,"1","1","unique","1",0.917246176687272
4,1999,"1","1","unique","1",0.992311352778206
5,1999,"1","1","unique","1",0.998823866326033
6,1999,"1","1","unique","1",0.999709081730153
7,1999,"1","1","unique","1",0.999914223064182
8,1999,"1","1","unique","1",0.999974252141182
9,1999,"1","1","unique","1",0.999991643504126
10,1999,"1","1","unique","1",0.999996857909366
11,1999,"1","1","unique","1",0.999998615991645
12,1999,"1","1","unique","1",0.99999929749406
13,1999,"1","1","unique","1",0.999999598191327
14,1999,"1","1","unique","1",0.999999746427376
15,1999,"1","1","unique","1",0.999999855244667
0,2000,"1","1","unique","1",0.000422850172882241
1,2000,"1","1","unique","1",0.0211097854588475
2,2000,"1","1","unique","1",0.429105316569713
3,2000,"1","1","unique","1",0.944413594187842
4,2000,"1","1","unique","1",0.993994948903026
5,2000,"1","1","unique","1",0.999075466962997
6,2000,"1","1","unique","1",0.999773381231674
7,2000,"1","1","unique","1",0.999929545850051
8,2000,"1","1","unique","1",0.999977006290686
9,2000,"1","1","unique","1",0.999992005119619
10,2000,"1","1","unique","1",0.999996850848305
11,2000,"1","1","unique","1",0.999998570049135
12,2000,"1","1","unique","1",0.999999259683918
13,2000,"1","1","unique","1",0.999999571208962
14,2000,"1","1","unique","1",0.999999727317366
15,2000,"1","1","unique","1",0.999999841225044
0,2001,"1","1","unique","1",0.000436417986809639
1,2001,"1","1","unique","1",0.0202928265502944
2,2001,"1","1","unique","1",0.351977221818845
3,2001,"1","1","unique","1",0.904892175294482
4,2001,"1","1","unique","1",0.99423956461518
5,2001,"1","1","unique","1",0.999330743694139
6,2001,"1","1","unique","1",0.999840116253885
7,2001,"1","1","unique","1",0.999948480084187
8,2001,"1","1","unique","1",0.9999823192495
9,2001,"1","1","unique","1",0.99999351542501
10,2001,"1","1","unique","1",0.999997322916431
11,2001,"1","1","unique","1",0.999998737051499
12,2001,"1","1","unique","1",0.999999325786481
13,2001,"1","1","unique","1",0.999999599712983
14,2001,"1","1","unique","1",0.999999740271573
15,2001,"1","1","unique","1",0.999999842156534
0,2002,"1","1","unique","1",0.000431061283598483
1,2002,"1","1","unique","1",0.0259875495267132
2,2002,"1","1","unique","1",0.37518427553581
3,2002,"1","1","unique","1",0.865136401365049
4,2002,"1","1","unique","1",0.987738293034967
5,2002,"1","1","unique","1",0.998870261379973
6,2002,"1","1","unique","1",0.999814283635886
7,2002,"1","1","unique","1",0.999955545194836
8,2002,"1","1","unique","1",0.999987168051588
9,2002,"1","1","unique","1",0.999995609080629
10,2002,"1","1","unique","1",0.999998209153034
11,2002,"1","1","unique","1",0.999999143943181
12,2002,"1","1","unique","1",0.999999532504551
13,2002,"1","1","unique","1",0.999999715422911
14,2002,"1","1","unique","1",0.999999810870222
15,2002,"1","1","unique","1",0.999999877900264
0,2003,"1","1","unique","1",0.000421397607874084
1,2003,"1","1","unique","1",0.0233370260756741
2,2003,"1","1","unique","1",0.40775607330102
3,2003,"1","1","unique","1",0.903893145661334
4,2003,"1","1","unique","1",0.98670814575466
5,2003,"1","1","unique","1",0.998145952214917
6,2003,"1","1","unique","1",0.999680258257718
7,2003,"1","1","unique","1",0.999936198689634
8,2003,"1","1","unique","1",0.999985320465758
9,2003,"1","1","unique","1",0.999995777279107
10,2003,"1","1","unique","1",0.999998463981638
11,2003,"1","1","unique","1",0.999999316867509
12,2003,"1","1","unique","1",0.99999964322456
13,2003,"1","1","unique","1",0.999999788649594
14,2003,"1","1","unique","1",0.999999861809184
15,2003,"1","1","unique","1",0.999999912456436
0,2004,"1","1","unique","1",0.00044171781957055
1,2004,"1","1","unique","1",0.0198003531562426
2,2004,"1","1","unique","1",0.366630845327281
3,2004,"1","1","unique","1",0.9059673180578
4,2004,"1","1","unique","1",0.989696115889139
5,2004,"1","1","unique","1",0.998386583768041
6,2004,"1","1","unique","1",0.999644242486051
7,2004,"1","1","unique","1",0.999914093226968
8,2004,"1","1","unique","1",0.999978966135063
9,2004,"1","1","unique","1",0.99999406904289
10,2004,"1","1","unique","1",0.999997947815104
11,2004,"1","1","unique","1",0.999999137803965
12,2004,"1","1","unique","1",0.999999573704001
13,2004,"1","1","unique","1",0.99999975955151
14,2004,"1","1","unique","1",0.999999849279323
15,2004,"1","1","unique","1",0.999999912635889
0,2005,"1","1","unique","1",0.00042817621048064
1,2005,"1","1","unique","1",0.0306899399980498
2,2005,"1","1","unique","1",0.400266450853818
3,2005,"1","1","unique","1",0.871853361832276
4,2005,"1","1","unique","1",0.987173214039325
5,2005,"1","1","unique","1",0.99837550146573
6,2005,"1","1","unique","1",0.999657221024929
7,2005,"1","1","unique","1",0.999907419650277
8,2005,"1","1","unique","1",0.99997396111601
9,2005,"1","1","unique","1",0.999992013466597
10,2005,"1","1","unique","1",0.999997124752882
11,2005,"1","1","unique","1",0.999998773384642
12,2005,"1","1","unique","1",0.999999392213879
13,2005,"1","1","unique","1",0.999999658888717
14,2005,"1","1","unique","1",0.999999788016929
15,2005,"1","1","unique","1",0.999999880548232
0,2006,"1","1","unique","1",0.000427163196912357
1,2006,"1","1","unique","1",0.0223864827987912
2,2006,"1","1","unique","1",0.440604427702869
3,2006,"1","1","unique","1",0.936921721095819
4,2006,"1","1","unique","1",0.990744220154986
5,2006,"1","1","unique","1",0.998413738646772
6,2006,"1","1","unique","1",0.999633848271664
7,2006,"1","1","unique","1",0.999896456624863
8,2006,"1","1","unique","1",0.999969003740769
9,2006,"1","1","unique","1",0.999989969398679
10,2006,"1","1","unique","1",0.999996262846502
11,2006,"1","1","unique","1",0.999998371709109
12,2006,"1","1","unique","1",0.999999182176019
13,2006,"1","1","unique","1",0.999999536806932
14,2006,"1","1","unique","1",0.999999710331455
15,2006,"1","1","unique","1",0.999999836720309
0,2007,"1","1","unique","1",0.000431025212286792
1,2007,"1","1","unique","1",0.0213900513703021
2,2007,"1","1","unique","1",0.374741070510829
3,2007,"1","1","unique","1",0.916061559415323
4,2007,"1","1","unique","1",0.993439034532944
5,2007,"1","1","unique","1",0.999032738623178
6,2007,"1","1","unique","1",0.999746510003223
7,2007,"1","1","unique","1",0.999915497474496
8,2007,"1","1","unique","1",0.999970892758266
9,2007,"1","1","unique","1",0.999989587536407
10,2007,"1","1","unique","1",0.99999586591374
11,2007,"1","1","unique","1",0.999998128002302
12,2007,"1","1","unique","1",0.999999037620752
13,2007,"1","1","unique","1",0.999999447091259
14,2007,"1","1","unique","1",0.999999651109702
15,2007,"1","1","unique","1",0.999999802821588
0,2008,"1","1","unique","1",0.000437173961314453
1,2008,"1","1","unique","1",0.0228721906090146
2,2008,"1","1","unique","1",0.369180059623631
3,2008,"1","1","unique","1",0.885028302218396
4,2008,"1","1","unique","1",0.989916727347299
5,2008,"1","1","unique","1",0.998896845387178
6,2008,"1","1","unique","1",0.99977657248013
7,2008,"1","1","unique","1",0.999934617913821
8,2008,"1","1","unique","1",0.999978229982313
9,2008,"1","1","unique","1",0.999992063302899
10,2008,"1","1","unique","1",0.99999672914953
11,2008,"1","1","unique","1",0.999998459952074
12,2008,"1","1","unique","1",0.99999918001899
13,2008,"1","1","unique","1",0.999999514672363
14,2008,"1","1","unique","1",0.99999968612383
15,2008,"1","1","unique","1",0.999999812419356
0,1990,"2","1","unique","1",0
1,1990,"2","1","unique","1",0.00805630577272221
2,1990,"2","1","unique","1",0.247633292813463
3,1990,"2","1","unique","1",0.851113399083394
4,1990,"2","1","unique","1",0.985074607134455
5,1990,"2","1","unique","1",0.998184184365818
6,1990,"2","1","unique","1",0.999629891541577
7,1990,"2","1","unique","1",0.999895771019858
8,1990,"2","1","unique","1",0.99996799645758
9,1990,"2","1","unique","1",0.999989506853509
10,1990,"2","1","unique","1",0.99999608978999
11,1990,"2","1","unique","1",0.999998305707525
12,1990,"2","1","unique","1",0.999999155029253
13,1990,"2","1","unique","1",0.999999524700386
14,1990,"2","1","unique","1",0.99999970454503
15,1990,"2","1","unique","1",0.999999800621417
0,1991,"2","1","unique","1",0
1,1991,"2","1","unique","1",0.00806230600407002
2,1991,"2","1","unique","1",0.254522420289418
3,1991,"2","1","unique","1",0.859622005472766
4,1991,"2","1","unique","1",0.984959146278573
5,1991,"2","1","unique","1",0.998137115715509
6,1991,"2","1","unique","1",0.999627617096535
7,1991,"2","1","unique","1",0.999896366918572
8,1991,"2","1","unique","1",0.999967953462585
9,1991,"2","1","unique","1",0.999989334023726
10,1991,"2","1","unique","1",0.999995971026554
11,1991,"2","1","unique","1",0.999998235960366
12,1991,"2","1","unique","1",0.999999113339365
13,1991,"2","1","unique","1",0.999999498298736
14,1991,"2","1","unique","1",0.999999686733294
15,1991,"2","1","unique","1",0.999999787878398
0,1992,"2","1","unique","1",0
1,1992,"2","1","unique","1",0.00674374282653836
2,1992,"2","1","unique","1",0.242700402535961
3,1992,"2","1","unique","1",0.868490012892578
4,1992,"2","1","unique","1",0.986540893638
5,1992,"2","1","unique","1",0.998285604618912
6,1992,"2","1","unique","1",0.999644948348168
7,1992,"2","1","unique","1",0.999899106035211
8,1992,"2","1","unique","1",0.999968375192732
9,1992,"2","1","unique","1",0.999989351908701
10,1992,"2","1","unique","1",0.999995939706347
11,1992,"2","1","unique","1",0.999998209389893
12,1992,"2","1","unique","1",0.999999094991335
13,1992,"2","1","unique","1",0.999999485674196
