"age","year","unit","season","area","iter","data"
0,1990,"1","1","unique","1",179998.094746585
1,1990,"1","1","unique","1",97483.8428332366
2,1990,"1","1","unique","1",23231.6425441804
3,1990,"1","1","unique","1",7572.77082607842
4,1990,"1","1","unique","1",1846.8482749118
5,1990,"1","1","unique","1",322.499353721214
6,1990,"1","1","unique","1",133.730486697941
7,1990,"1","1","unique","1",40.0714658391169
8,1990,"1","1","unique","1",13.2091914526449
9,1990,"1","1","unique","1",4.6004326276866
10,1990,"1","1","unique","1",1.65037821780969
11,1990,"1","1","unique","1",0.60145511411082
12,1990,"1","1","unique","1",0.221059543663542
13,1990,"1","1","unique","1",0.0816330113444089
14,1990,"1","1","unique","1",0.0302276419135239
15,1990,"1","1","unique","1",0.017841205997684
0,1991,"1","1","unique","1",113491.691764269
1,1991,"1","1","unique","1",73322.3874052934
2,1991,"1","1","unique","1",26799.3286315478
3,1991,"1","1","unique","1",6091.58286733124
4,1991,"1","1","unique","1",1580.10696479269
5,1991,"1","1","unique","1",385.685987676108
6,1991,"1","1","unique","1",78.5861394245564
7,1991,"1","1","unique","1",37.7984797597267
8,1991,"1","1","unique","1",12.4775337879271
9,1991,"1","1","unique","1",4.34431775052477
10,1991,"1","1","unique","1",1.55812055779711
11,1991,"1","1","unique","1",0.567820273003193
12,1991,"1","1","unique","1",0.208715236796273
13,1991,"1","1","unique","1",0.0770831732258772
14,1991,"1","1","unique","1",0.0285459494217291
15,1991,"1","1","unique","1",0.0168511237926709
0,1992,"1","1","unique","1",61204.7843829252
1,1992,"1","1","unique","1",59918.0145487968
2,1992,"1","1","unique","1",24244.028363143
3,1992,"1","1","unique","1",8150.71198345604
4,1992,"1","1","unique","1",1457.60560426454
5,1992,"1","1","unique","1",368.844280964882
6,1992,"1","1","unique","1",104.28376865417
7,1992,"1","1","unique","1",24.7847670924528
8,1992,"1","1","unique","1",13.2241596557843
9,1992,"1","1","unique","1",4.63199471960452
10,1992,"1","1","unique","1",1.66498956312596
11,1992,"1","1","unique","1",0.607406709584287
12,1992,"1","1","unique","1",0.223407866394495
13,1992,"1","1","unique","1",0.0825442874468003
14,1992,"1","1","unique","1",0.0305773625802526
15,1992,"1","1","unique","1",0.018055717200292
0,1993,"1","1","unique","1",241560.034334222
1,1993,"1","1","unique","1",31588.9553818303
2,1993,"1","1","unique","1",18759.3218750199
3,1993,"1","1","unique","1",6813.87301419024
4,1993,"1","1","unique","1",1815.46461190548
5,1993,"1","1","unique","1",327.642071462111
6,1993,"1","1","unique","1",96.871534284942
7,1993,"1","1","unique","1",31.6248394184958
8,1993,"1","1","unique","1",8.2433066758572
9,1993,"1","1","unique","1",4.63274808612014
10,1993,"1","1","unique","1",1.66870683211755
11,1993,"1","1","unique","1",0.608910468800351
12,1993,"1","1","unique","1",0.223978838911603
13,1993,"1","1","unique","1",0.0827675218406418
14,1993,"1","1","unique","1",0.0306652883828003
15,1993,"1","1","unique","1",0.0181115257987524
0,1994,"1","1","unique","1",63178.9020353917
1,1994,"1","1","unique","1",122877.052514233
2,1994,"1","1","unique","1",8888.90212888174
3,1994,"1","1","unique","1",4879.94151770215
4,1994,"1","1","unique","1",1446.9296077207
5,1994,"1","1","unique","1",394.344746247182
6,1994,"1","1","unique","1",83.1061402639823
7,1994,"1","1","unique","1",28.2543172784423
8,1994,"1","1","unique","1",10.0818282682278
9,1994,"1","1","unique","1",2.76220841683528
10,1994,"1","1","unique","1",1.59449031761081
11,1994,"1","1","unique","1",0.582656637002422
12,1994,"1","1","unique","1",0.214297087914043
13,1994,"1","1","unique","1",0.0791800103186527
14,1994,"1","1","unique","1",0.0293369842631392
15,1994,"1","1","unique","1",0.0173295115300952
0,1995,"1","1","unique","1",44818.0713962701
1,1995,"1","1","unique","1",35102.5180326802
2,1995,"1","1","unique","1",39894.1273264249
3,1995,"1","1","unique","1",2193.59512644722
4,1995,"1","1","unique","1",940.430395274487
5,1995,"1","1","unique","1",287.923795740781
6,1995,"1","1","unique","1",93.7158207290158
7,1995,"1","1","unique","1",23.1040658723891
8,1995,"1","1","unique","1",8.67299323313294
9,1995,"1","1","unique","1",3.27073081488465
10,1995,"1","1","unique","1",0.923089087610792
11,1995,"1","1","unique","1",0.541409820271752
12,1995,"1","1","unique","1",0.199578685250813
13,1995,"1","1","unique","1",0.0737688561929765
14,1995,"1","1","unique","1",0.0273364987826257
15,1995,"1","1","unique","1",0.0161533676211564
0,1996,"1","1","unique","1",84502.7430059156
1,1996,"1","1","unique","1",20793.3123400443
2,1996,"1","1","unique","1",10598.5782216453
3,1996,"1","1","unique","1",10358.5913355483
4,1996,"1","1","unique","1",425.444905538412
5,1996,"1","1","unique","1",179.032596080503
6,1996,"1","1","unique","1",65.2713775325504
7,1996,"1","1","unique","1",25.3178730294332
8,1996,"1","1","unique","1",7.01103696150412
9,1996,"1","1","unique","1",2.81153409817434
10,1996,"1","1","unique","1",1.09861654685016
11,1996,"1","1","unique","1",0.316003550067379
12,1996,"1","1","unique","1",0.187270064165864
13,1996,"1","1","unique","1",0.0694359083292073
14,1996,"1","1","unique","1",0.0257525456835164
15,1996,"1","1","unique","1",0.0152278172058373
0,1997,"1","1","unique","1",67357.5088906301
1,1997,"1","1","unique","1",45476.5732072335
2,1997,"1","1","unique","1",6972.45666573008
3,1997,"1","1","unique","1",2925.75833974788
4,1997,"1","1","unique","1",2246.4001715624
5,1997,"1","1","unique","1",93.3420121592216
6,1997,"1","1","unique","1",46.6556909313655
7,1997,"1","1","unique","1",19.9652039358914
8,1997,"1","1","unique","1",8.58597940057783
9,1997,"1","1","unique","1",2.5196739623894
10,1997,"1","1","unique","1",1.04242135241465
11,1997,"1","1","unique","1",0.41419694520573
12,1997,"1","1","unique","1",0.120234322079146
13,1997,"1","1","unique","1",0.0716235459125507
14,1997,"1","1","unique","1",0.0266375530850339
15,1997,"1","1","unique","1",0.0157635995764917
0,1998,"1","1","unique","1",170749.529495512
1,1998,"1","1","unique","1",32285.91853596
2,1998,"1","1","unique","1",13158.2400856668
3,1998,"1","1","unique","1",1854.53063082775
4,1998,"1","1","unique","1",619.933410450076
5,1998,"1","1","unique","1",461.43401700738
6,1998,"1","1","unique","1",22.0530204559139
7,1998,"1","1","unique","1",12.808420291765
8,1998,"1","1","unique","1",6.06865475219112
9,1998,"1","1","unique","1",2.76653036158284
10,1998,"1","1","unique","1",0.837765373357187
11,1998,"1","1","unique","1",0.352442698902261
12,1998,"1","1","unique","1",0.141317680527707
13,1998,"1","1","unique","1",0.0412310555101465
14,1998,"1","1","unique","1",0.0246338955349809
15,1998,"1","1","unique","1",0.01462115890641
0,1999,"1","1","unique","1",91912.1026871237
1,1999,"1","1","unique","1",84652.1276557909
2,1999,"1","1","unique","1",10074.8893661102
3,1999,"1","1","unique","1",3868.20002536475
4,1999,"1","1","unique","1",441.84351378584
5,1999,"1","1","unique","1",139.58394627003
6,1999,"1","1","unique","1",115.559484595323
7,1999,"1","1","unique","1",6.30516227451197
8,1999,"1","1","unique","1",4.02304658247838
9,1999,"1","1","unique","1",2.01274751182709
10,1999,"1","1","unique","1",0.944676012098747
11,1999,"1","1","unique","1",0.290485241893919
12,1999,"1","1","unique","1",0.123207146000686
13,1999,"1","1","unique","1",0.0496240541301156
14,1999,"1","1","unique","1",0.0145155884670489
15,1999,"1","1","unique","1",0.0138504451354873
0,2000,"1","1","unique","1",44052.512238349
1,2000,"1","1","unique","1",47346.8055822817
2,2000,"1","1","unique","1",28131.7960924795
3,2000,"1","1","unique","1",3026.70945284213
4,2000,"1","1","unique","1",906.35939460518
5,2000,"1","1","unique","1",96.7595205793288
6,2000,"1","1","unique","1",34.2037319541005
7,2000,"1","1","unique","1",32.6314758614181
8,2000,"1","1","unique","1",1.96942893717844
9,2000,"1","1","unique","1",1.3321998175643
10,2000,"1","1","unique","1",0.687668990378944
11,2000,"1","1","unique","1",0.328104004088799
12,2000,"1","1","unique","1",0.101778824989705
13,2000,"1","1","unique","1",0.0433768614264378
14,2000,"1","1","unique","1",0.0175188444307334
15,2000,"1","1","unique","1",0.0100400957283489
0,2001,"1","1","unique","1",75250.5100494373
1,2001,"1","1","unique","1",23523.1755602941
2,2001,"1","1","unique","1",16902.967304207
3,2001,"1","1","unique","1",9093.20323265947
4,2001,"1","1","unique","1",762.203703111361
5,2001,"1","1","unique","1",210.463840129917
6,2001,"1","1","unique","1",24.9614117149331
7,2001,"1","1","unique","1",10.1590483360798
8,2001,"1","1","unique","1",10.7318051423038
9,2001,"1","1","unique","1",0.687342861979415
10,2001,"1","1","unique","1",0.480006484161089
11,2001,"1","1","unique","1",0.251966404967209
12,2001,"1","1","unique","1",0.121297956646606
13,2001,"1","1","unique","1",0.0378118619280964
14,2001,"1","1","unique","1",0.0161601082689278
15,2001,"1","1","unique","1",0.0102916804936997
0,2002,"1","1","unique","1",74729.8941362686
1,2002,"1","1","unique","1",40573.9414796066
2,2002,"1","1","unique","1",9209.90565356074
3,2002,"1","1","unique","1",6093.39689459913
4,2002,"1","1","unique","1",2712.60517941152
5,2002,"1","1","unique","1",218.445560108656
6,2002,"1","1","unique","1",66.5545787884469
7,2002,"1","1","unique","1",8.86340661995809
8,2002,"1","1","unique","1",3.91139964740567
9,2002,"1","1","unique","1",4.32891338782363
10,2002,"1","1","unique","1",0.284244195074974
11,2002,"1","1","unique","1",0.201120112792659
12,2002,"1","1","unique","1",0.106313893159443
13,2002,"1","1","unique","1",0.0513778120767607
14,2002,"1","1","unique","1",0.016051167505681
15,2002,"1","1","unique","1",0.0112505376391834
0,2003,"1","1","unique","1",32007.5694338698
1,2003,"1","1","unique","1",38689.73217315
2,2003,"1","1","unique","1",14486.1476966355
3,2003,"1","1","unique","1",3199.3195993769
4,2003,"1","1","unique","1",1775.67496461951
5,2003,"1","1","unique","1",734.254796653268
6,2003,"1","1","unique","1",63.9854007158068
7,2003,"1","1","unique","1",21.8619032661597
8,2003,"1","1","unique","1",3.16819366702066
9,2003,"1","1","unique","1",1.46908453091057
10,2003,"1","1","unique","1",1.66964854026208
11,2003,"1","1","unique","1",0.111169142098324
12,2003,"1","1","unique","1",0.0792416674203265
13,2003,"1","1","unique","1",0.0420568839893179
14,2003,"1","1","unique","1",0.0203711297097729
15,2003,"1","1","unique","1",0.0108468917902834
0,2004,"1","1","unique","1",123998.180842096
1,2004,"1","1","unique","1",17701.8331922927
2,2004,"1","1","unique","1",14655.1595267864
3,2004,"1","1","unique","1",5017.6192484333
4,2004,"1","1","unique","1",893.145742429745
5,2004,"1","1","unique","1",457.033761793069
6,2004,"1","1","unique","1",206.989432712445
7,2004,"1","1","unique","1",20.52854366067
8,2004,"1","1","unique","1",7.71269874363914
9,2004,"1","1","unique","1",1.18158599074242
10,2004,"1","1","unique","1",0.564467792008645
11,2004,"1","1","unique","1",0.651634280410347
12,2004,"1","1","unique","1",0.0437483900712505
13,2004,"1","1","unique","1",0.0313253762285334
14,2004,"1","1","unique","1",0.016668432412631
15,2004,"1","1","unique","1",0.012399322448344
0,2005,"1","1","unique","1",94269.8424995222
1,2005,"1","1","unique","1",65981.4254735304
2,2005,"1","1","unique","1",6538.28956022981
3,2005,"1","1","unique","1",5007.59749123197
4,2005,"1","1","unique","1",1417.77630610933
5,2005,"1","1","unique","1",237.274766640718
6,2005,"1","1","unique","1",133.310187483959
7,2005,"1","1","unique","1",68.3135904752668
8,2005,"1","1","unique","1",7.40636604058028
9,2005,"1","1","unique","1",2.93050653133981
10,2005,"1","1","unique","1",0.461562882332421
11,2005,"1","1","unique","1",0.223724082076713
12,2005,"1","1","unique","1",0.260270288258553
13,2005,"1","1","unique","1",0.0175473930565888
14,2005,"1","1","unique","1",0.012594702106542
15,2005,"1","1","unique","1",0.0117121728843522
0,2006,"1","1","unique","1",69187.1982518767
1,2006,"1","1","unique","1",52532.0488804424
2,2006,"1","1","unique","1",24480.9423068736
3,2006,"1","1","unique","1",2112.24145547663
4,2006,"1","1","unique","1",1264.6545618078
5,2006,"1","1","unique","1",329.472950349435
6,2006,"1","1","unique","1",60.9032395223275
7,2006,"1","1","unique","1",39.3546772503655
8,2006,"1","1","unique","1",22.3516906284915
9,2006,"1","1","unique","1",2.5738568752108
10,2006,"1","1","unique","1",1.05186817201194
11,2006,"1","1","unique","1",0.168504299024592
12,2006,"1","1","unique","1",0.0824129439424308
13,2006,"1","1","unique","1",0.0963471515391952
14,2006,"1","1","unique","1",0.00651380514847187
15,2006,"1","1","unique","1",0.00904644494510394
0,2007,"1","1","unique","1",74004.5806106298
1,2007,"1","1","unique","1",40183.6777990764
2,2007,"1","1","unique","1",22679.3059356168
3,2007,"1","1","unique","1",9156.11924943177
4,2007,"1","1","unique","1",630.197037953786
5,2007,"1","1","unique","1",358.655990112735
6,2007,"1","1","unique","1",103.744516832457
7,2007,"1","1","unique","1",21.7347231030608
8,2007,"1","1","unique","1",15.3340815354102
9,2007,"1","1","unique","1",9.16235434862033
10,2007,"1","1","unique","1",1.08418363044548
11,2007,"1","1","unique","1",0.449496131549858
12,2007,"1","1","unique","1",0.0725642627853554
13,2007,"1","1","unique","1",0.0356415716000471
14,2007,"1","1","unique","1",0.0417698116959941
15,2007,"1","1","unique","1",0.00676271348014867
0,2008,"1","1","unique","1",152138.40274429
1,2008,"1","1","unique","1",43548.5496902627
2,2008,"1","1","unique","1",18506.1510748994
3,2008,"1","1","unique","1",9204.43383360512
4,2008,"1","1","unique","1",3140.051462575
5,2008,"1","1","unique","1",210.94857200642
6,2008,"1","1","unique","1",131.224551761745
7,2008,"1","1","unique","1",41.9247474675635
8,2008,"1","1","unique","1",9.40662352859562
9,2008,"1","1","unique","1",6.9030180809672
10,2008,"1","1","unique","1",4.21262730104942
11,2008,"1","1","unique","1",0.504072579248501
12,2008,"1","1","unique","1",0.21023981271869
13,2008,"1","1","unique","1",0.0340528603966286
14,2008,"1","1","unique","1",0.0167577459956022
15,2008,"1","1","unique","1",0.0228493090374988
0,1990,"2","1","unique","1",0
1,1990,"2","1","unique","1",89211.1846014218
2,1990,"2","1","unique","1",23591.27592822
3,1990,"2","1","unique","1",7893.45714380347
4,1990,"2","1","unique","1",2017.75343406909
5,1990,"2","1","unique","1",349.212144330637
6,1990,"2","1","unique","1",139.658291649862
7,1990,"2","1","unique","1",40.5602619297176
8,1990,"2","1","unique","1",13.1118485686518
9,1990,"2","1","unique","1",4.51749292194626
10,1990,"2","1","unique","1",1.61134193703935
11,1990,"2","1","unique","1",0.585430215306013
12,1990,"2","1","unique","1",0.214810566670748
13,1990,"2","1","unique","1",0.0792505888659063
14,1990,"2","1","unique","1",0.0293292523436367
15,1990,"2","1","unique","1",0.0172936274934297
0,1991,"2","1","unique","1",0
1,1991,"2","1","unique","1",89101.7482023094
2,1991,"2","1","unique","1",23518.6157103311
3,1991,"2","1","unique","1",6485.45477696269
4,1991,"2","1","unique","1",1720.14392224383
5,1991,"2","1","unique","1",411.845648659583
6,1991,"2","1","unique","1",81.5846372839317
7,1991,"2","1","unique","1",38.2103531639947
8,1991,"2","1","unique","1",12.3851472625894
9,1991,"2","1","unique","1",4.26638396702645
10,1991,"2","1","unique","1",1.52132455113903
11,1991,"2","1","unique","1",0.552687518756367
12,1991,"2","1","unique","1",0.202810231094168
13,1991,"2","1","unique","1",0.0748314003615323
14,1991,"2","1","unique","1",0.027696826056877
15,1991,"2","1","unique","1",0.0163387354348703
0,1992,"2","1","unique","1",0
1,1992,"2","1","unique","1",40244.8392648846
2,1992,"2","1","unique","1",29703.160040604
3,1992,"2","1","unique","1",7490.4754469633
4,1992,"2","1","unique","1",1630.55278318788
