"age","year","unit","season","area","iter","data"
0,1990,"1","1","unique","1",179998.094746585
0,1991,"1","1","unique","1",113491.691764269
0,1992,"1","1","unique","1",61204.7843829252
0,1993,"1","1","unique","1",241560.034334222
0,1994,"1","1","unique","1",63178.9020353917
0,1995,"1","1","unique","1",44818.0713962701
0,1996,"1","1","unique","1",84502.7430059156
0,1997,"1","1","unique","1",67357.5088906301
0,1998,"1","1","unique","1",170749.529495512
0,1999,"1","1","unique","1",91912.1026871237
0,2000,"1","1","unique","1",44052.512238349
0,2001,"1","1","unique","1",75250.5100494373
0,2002,"1","1","unique","1",74729.8941362686
0,2003,"1","1","unique","1",32007.5694338698
0,2004,"1","1","unique","1",123998.180842096
0,2005,"1","1","unique","1",94269.8424995222
0,2006,"1","1","unique","1",69187.1982518767
0,2007,"1","1","unique","1",74004.5806106298
0,2008,"1","1","unique","1",152138.40274429
0,1990,"1","2","unique","1",148655.073881238
0,1991,"1","2","unique","1",58305.6119510052
0,1992,"1","2","unique","1",166230.32167347
0,1993,"1","2","unique","1",76308.1969865107
0,1994,"1","2","unique","1",168794.741641801
0,1995,"1","2","unique","1",64268.4087950332
0,1996,"1","2","unique","1",203988.853182434
0,1997,"1","2","unique","1",125116.335354766
0,1998,"1","2","unique","1",111507.165758626
0,1999,"1","2","unique","1",42778.7280638979
0,2000,"1","2","unique","1",104764.535443749
0,2001,"1","2","unique","1",208519.956265248
0,2002,"1","2","unique","1",147349.569011392
0,2003,"1","2","unique","1",100120.427383591
0,2004,"1","2","unique","1",154625.503517595
0,2005,"1","2","unique","1",72846.7752287162
0,2006,"1","2","unique","1",210839.532116
0,2007,"1","2","unique","1",224675.702938559
0,2008,"1","2","unique","1",178319.871705849
0,1990,"1","3","unique","1",126528.89757157
0,1991,"1","3","unique","1",79778.3419355388
0,1992,"1","3","unique","1",43023.6713086503
0,1993,"1","3","unique","1",169803.856264051
0,1994,"1","3","unique","1",44411.3526050037
0,1995,"1","3","unique","1",31504.6972846876
0,1996,"1","3","unique","1",59400.8680866869
0,1997,"1","3","unique","1",47348.7881257438
0,1998,"1","3","unique","1",120027.146287348
0,1999,"1","3","unique","1",64609.208016182
0,2000,"1","3","unique","1",30966.5358618787
0,2001,"1","3","unique","1",52897.1342590029
0,2002,"1","3","unique","1",52531.1567358844
0,2003,"1","3","unique","1",22499.5883707702
0,2004,"1","3","unique","1",87163.7128408546
0,2005,"1","3","unique","1",66266.6143505651
0,2006,"1","3","unique","1",48634.8640696605
0,2007,"1","3","unique","1",52021.2465574115
0,2008,"1","3","unique","1",106945.333252148
0,1990,"1","4","unique","1",8.17187563491482
0,1991,"1","4","unique","1",5.15250159288276
0,1992,"1","4","unique","1",2.77869326572331
0,1993,"1","4","unique","1",10.9668356697453
0,1994,"1","4","unique","1",2.8683141429312
0,1995,"1","4","unique","1",2.03473391882267
0,1996,"1","4","unique","1",3.836419853666
0,1997,"1","4","unique","1",3.05802372682727
0,1998,"1","4","unique","1",7.75200266777687
0,1999,"1","4","unique","1",4.17279800289421
0,2000,"1","4","unique","1",1.99997993193064
0,2001,"1","4","unique","1",3.41636845761645
0,2002,"1","4","unique","1",3.39273653954725
0,2003,"1","4","unique","1",1.45314488147463
0,2004,"1","4","unique","1",5.62949163716614
0,2005,"1","4","unique","1",4.27984543713466
0,2006,"1","4","unique","1",3.14109229789265
0,2007,"1","4","unique","1",3.35980649264043
0,2008,"1","4","unique","1",6.90707238234736
