"age","year","unit","season","area","iter","data"
0,1990,"1","1","unique","1",0.00050883456057317
1,1990,"1","1","unique","1",0.0734991401069671
2,1990,"1","1","unique","1",0.505655267466994
3,1990,"1","1","unique","1",1.71961487757719
4,1990,"1","1","unique","1",3.49720847406867
5,1990,"1","1","unique","1",5.08869621483845
6,1990,"1","1","unique","1",6.6605594497823
7,1990,"1","1","unique","1",9.02536358232551
8,1990,"1","1","unique","1",11.7437022875708
9,1990,"1","1","unique","1",13.8037799647097
10,1990,"1","1","unique","1",15.0864580704041
11,1990,"1","1","unique","1",15.8668500939578
12,1990,"1","1","unique","1",16.3610918110322
13,1990,"1","1","unique","1",16.6901481030885
14,1990,"1","1","unique","1",16.9190361907381
15,1990,"1","1","unique","1",16.9830906479631
0,1991,"1","1","unique","1",0.000500435226047941
1,1991,"1","1","unique","1",0.069516870868239
2,1991,"1","1","unique","1",0.511238053408842
3,1991,"1","1","unique","1",1.75618543819865
4,1991,"1","1","unique","1",3.47220906638995
5,1991,"1","1","unique","1",5.09282180808728
6,1991,"1","1","unique","1",6.68055568648674
7,1991,"1","1","unique","1",9.00066430678546
8,1991,"1","1","unique","1",11.6564198327236
9,1991,"1","1","unique","1",13.6984051717969
10,1991,"1","1","unique","1",14.9914712390287
11,1991,"1","1","unique","1",15.7878257540379
12,1991,"1","1","unique","1",16.2959699737214
13,1991,"1","1","unique","1",16.635767393536
14,1991,"1","1","unique","1",16.8727274303469
15,1991,"1","1","unique","1",16.9405428816697
0,1992,"1","1","unique","1",0.00047931081471238
1,1992,"1","1","unique","1",0.0682339679631452
2,1992,"1","1","unique","1",0.487435808936393
3,1992,"1","1","unique","1",1.75660393223665
4,1992,"1","1","unique","1",3.55175460280561
5,1992,"1","1","unique","1",5.12812078031498
6,1992,"1","1","unique","1",6.69690979080434
7,1992,"1","1","unique","1",9.00150323013398
8,1992,"1","1","unique","1",11.6261646086312
9,1992,"1","1","unique","1",13.6471872243619
10,1992,"1","1","unique","1",14.9353000411579
11,1992,"1","1","unique","1",15.7344276215874
12,1992,"1","1","unique","1",16.2475686809323
13,1992,"1","1","unique","1",16.5924197497976
14,1992,"1","1","unique","1",16.8338230200489
15,1992,"1","1","unique","1",16.9031004294993
0,1993,"1","1","unique","1",0.000555379332147115
1,1993,"1","1","unique","1",0.0657684181755926
2,1993,"1","1","unique","1",0.467476194562752
3,1993,"1","1","unique","1",1.68067530887629
4,1993,"1","1","unique","1",3.51150735368542
5,1993,"1","1","unique","1",5.16955006071655
6,1993,"1","1","unique","1",6.77891117270706
7,1993,"1","1","unique","1",9.10888415395505
8,1993,"1","1","unique","1",11.7160626673751
9,1993,"1","1","unique","1",13.7015866036145
10,1993,"1","1","unique","1",14.9642295171692
11,1993,"1","1","unique","1",15.7492248852614
12,1993,"1","1","unique","1",16.2549124193694
13,1993,"1","1","unique","1",16.5957771862639
14,1993,"1","1","unique","1",16.8349817668551
15,1993,"1","1","unique","1",16.9024881768064
0,1994,"1","1","unique","1",0.000443868887836914
1,1994,"1","1","unique","1",0.0835238894440911
2,1994,"1","1","unique","1",0.514587584977583
3,1994,"1","1","unique","1",1.58220572634079
4,1994,"1","1","unique","1",3.36147917014289
5,1994,"1","1","unique","1",5.07284743436928
6,1994,"1","1","unique","1",6.77116389021406
7,1994,"1","1","unique","1",9.20235950937868
8,1994,"1","1","unique","1",11.8479625461255
9,1994,"1","1","unique","1",13.8111878307201
10,1994,"1","1","unique","1",15.0427366732122
11,1994,"1","1","unique","1",15.8050699131917
12,1994,"1","1","unique","1",16.2961047593529
13,1994,"1","1","unique","1",16.6275307770339
14,1994,"1","1","unique","1",16.8604816129975
15,1994,"1","1","unique","1",16.924180530763
0,1995,"1","1","unique","1",0.00049049066685409
1,1995,"1","1","unique","1",0.059285754789283
2,1995,"1","1","unique","1",0.546315555454247
3,1995,"1","1","unique","1",1.87810434798015
4,1995,"1","1","unique","1",3.29134409507383
5,1995,"1","1","unique","1",4.88048695095373
6,1995,"1","1","unique","1",6.55814336155871
7,1995,"1","1","unique","1",9.00336155383006
8,1995,"1","1","unique","1",11.7344297745872
9,1995,"1","1","unique","1",13.7742174829322
10,1995,"1","1","unique","1",15.0429418234893
11,1995,"1","1","unique","1",15.8192217962915
12,1995,"1","1","unique","1",16.3144271546858
13,1995,"1","1","unique","1",16.6463291726999
14,1995,"1","1","unique","1",16.8784751032597
15,1995,"1","1","unique","1",16.9428029845189
0,1996,"1","1","unique","1",0.000539265972906796
1,1996,"1","1","unique","1",0.0665375263370602
2,1996,"1","1","unique","1",0.425148074529296
3,1996,"1","1","unique","1",1.79770755879704
4,1996,"1","1","unique","1",3.81548266156583
5,1996,"1","1","unique","1",5.13731458776021
6,1996,"1","1","unique","1",6.49274280721683
7,1996,"1","1","unique","1",8.65605463685643
8,1996,"1","1","unique","1",11.3316092097545
9,1996,"1","1","unique","1",13.4849544206955
10,1996,"1","1","unique","1",14.8640848481189
11,1996,"1","1","unique","1",15.7089747589583
12,1996,"1","1","unique","1",16.2432414739619
13,1996,"1","1","unique","1",16.5976441946596
14,1996,"1","1","unique","1",16.843284290027
15,1996,"1","1","unique","1",16.9172188179111
0,1997,"1","1","unique","1",0.000498381512782103
1,1997,"1","1","unique","1",0.0773585738266564
2,1997,"1","1","unique","1",0.494253064161706
3,1997,"1","1","unique","1",1.49454947792366
4,1997,"1","1","unique","1",3.49040370922887
5,1997,"1","1","unique","1",5.3860059102091
6,1997,"1","1","unique","1",6.93100806597752
7,1997,"1","1","unique","1",9.05893441610173
8,1997,"1","1","unique","1",11.519500030384
9,1997,"1","1","unique","1",13.497634150389
10,1997,"1","1","unique","1",14.8051861581369
11,1997,"1","1","unique","1",15.6332135222636
12,1997,"1","1","unique","1",16.1697775705295
13,1997,"1","1","unique","1",16.5314536774192
14,1997,"1","1","unique","1",16.7846777212348
15,1997,"1","1","unique","1",16.8609009743732
0,1998,"1","1","unique","1",0.000546845901741216
1,1998,"1","1","unique","1",0.069233674961022
2,1998,"1","1","unique","1",0.531315717519077
3,1998,"1","1","unique","1",1.70762180633959
4,1998,"1","1","unique","1",3.16705853962414
5,1998,"1","1","unique","1",4.94246176796883
6,1998,"1","1","unique","1",6.87855899094776
7,1998,"1","1","unique","1",9.44932622235927
8,1998,"1","1","unique","1",12.0115765301745
9,1998,"1","1","unique","1",13.8479832877412
10,1998,"1","1","unique","1",15.0088760203019
11,1998,"1","1","unique","1",15.7434649188714
12,1998,"1","1","unique","1",16.2270189217856
13,1998,"1","1","unique","1",16.5591304801291
14,1998,"1","1","unique","1",16.7956347797832
15,1998,"1","1","unique","1",16.8580930626413
0,1999,"1","1","unique","1",0.00048263877098508
1,1999,"1","1","unique","1",0.079550592443918
2,1999,"1","1","unique","1",0.524160603604022
3,1999,"1","1","unique","1",1.78446643217343
4,1999,"1","1","unique","1",3.45977574706241
5,1999,"1","1","unique","1",4.91788450852756
6,1999,"1","1","unique","1",6.56648608333269
7,1999,"1","1","unique","1",9.14331502169711
8,1999,"1","1","unique","1",11.9560842758514
9,1999,"1","1","unique","1",13.9622474315163
10,1999,"1","1","unique","1",15.1737709895761
11,1999,"1","1","unique","1",15.9070401012906
12,1999,"1","1","unique","1",16.3744795218305
13,1999,"1","1","unique","1",16.6888357482703
14,1999,"1","1","unique","1",16.9097064219869
15,1999,"1","1","unique","1",16.9668635967601
0,2000,"1","1","unique","1",0.000474315354152633
1,2000,"1","1","unique","1",0.064843205622877
2,2000,"1","1","unique","1",0.53735695275347
3,2000,"1","1","unique","1",1.89379431107458
4,2000,"1","1","unique","1",3.59717481520562
5,2000,"1","1","unique","1",5.15055623429971
6,2000,"1","1","unique","1",6.65299440651894
7,2000,"1","1","unique","1",8.95636222957613
8,2000,"1","1","unique","1",11.6867472180801
9,2000,"1","1","unique","1",13.789231184212
10,2000,"1","1","unique","1",15.0982745801046
11,2000,"1","1","unique","1",15.889164953903
12,2000,"1","1","unique","1",16.3861304741155
13,2000,"1","1","unique","1",16.7148114275865
14,2000,"1","1","unique","1",16.9422766465181
15,2000,"1","1","unique","1",17.0068602235329
0,2001,"1","1","unique","1",0.000531195438640961
1,2001,"1","1","unique","1",0.0636040307969195
2,2001,"1","1","unique","1",0.444471000852847
3,2001,"1","1","unique","1",1.8277653436572
4,2001,"1","1","unique","1",3.87695397082001
5,2001,"1","1","unique","1",5.38565497398909
6,2001,"1","1","unique","1",6.89985014735209
7,2001,"1","1","unique","1",9.17494575677201
8,2001,"1","1","unique","1",11.7594056109692
9,2001,"1","1","unique","1",13.7454862587068
10,2001,"1","1","unique","1",15.0118065086444
11,2001,"1","1","unique","1",15.7974599824306
12,2001,"1","1","unique","1",16.3014545955498
13,2001,"1","1","unique","1",16.6395980159826
14,2001,"1","1","unique","1",16.8758586118727
15,2001,"1","1","unique","1",16.9429665837354
0,2002,"1","1","unique","1",0.000508723151813895
1,2002,"1","1","unique","1",0.0736830714379664
2,2002,"1","1","unique","1",0.462907709888174
3,2002,"1","1","unique","1",1.51253409756827
4,2002,"1","1","unique","1",3.60881427953284
5,2002,"1","1","unique","1",5.55552041740267
6,2002,"1","1","unique","1",7.40801195088456
7,2002,"1","1","unique","1",9.91112485093775
8,2002,"1","1","unique","1",12.3712039000587
9,2002,"1","1","unique","1",14.1124525493479
10,2002,"1","1","unique","1",15.207807521442
11,2002,"1","1","unique","1",15.8995057836882
12,2002,"1","1","unique","1",16.354122495049
13,2002,"1","1","unique","1",16.6658933539535
14,2002,"1","1","unique","1",16.8876004481563
15,2002,"1","1","unique","1",16.9429220779452
0,2003,"1","1","unique","1",0.000468233012722892
1,2003,"1","1","unique","1",0.0688760680086342
2,2003,"1","1","unique","1",0.502688402267575
3,2003,"1","1","unique","1",1.58250605030242
4,2003,"1","1","unique","1",3.17248039632821
5,2003,"1","1","unique","1",5.1415432269232
6,2003,"1","1","unique","1",7.45315111358639
7,2003,"1","1","unique","1",10.4829875461017
8,2003,"1","1","unique","1",13.0485231097165
9,2003,"1","1","unique","1",14.6495001519685
10,2003,"1","1","unique","1",15.5980088414105
11,2003,"1","1","unique","1",16.1860587972562
12,2003,"1","1","unique","1",16.5722383949611
13,2003,"1","1","unique","1",16.838426140443
14,2003,"1","1","unique","1",17.0289246514206
15,2003,"1","1","unique","1",17.0678216458358
0,2004,"1","1","unique","1",0.000553482579025622
1,2004,"1","1","unique","1",0.062760213215113
2,2004,"1","1","unique","1",0.46123285292495
3,2004,"1","1","unique","1",1.68132716032489
4,2004,"1","1","unique","1",3.25435016035262
5,2004,"1","1","unique","1",4.84778285001102
6,2004,"1","1","unique","1",6.85264347041468
7,2004,"1","1","unique","1",10.0071409932833
8,2004,"1","1","unique","1",12.9821662815535
9,2004,"1","1","unique","1",14.8014218122484
10,2004,"1","1","unique","1",15.8089151415325
11,2004,"1","1","unique","1",16.3962276756066
12,2004,"1","1","unique","1",16.764985649174
13,2004,"1","1","unique","1",17.0114129494507
14,2004,"1","1","unique","1",17.1840491949257
15,2004,"1","1","unique","1",17.2198664612303
0,2005,"1","1","unique","1",0.000496628893801351
1,2005,"1","1","unique","1",0.0811261713460945
2,2005,"1","1","unique","1",0.485650571102093
3,2005,"1","1","unique","1",1.5439726296396
4,2005,"1","1","unique","1",3.32963722671447
5,2005,"1","1","unique","1",4.91377969269045
6,2005,"1","1","unique","1",6.54436605199098
7,2005,"1","1","unique","1",9.20710296490489
8,2005,"1","1","unique","1",12.2514948081893
9,2005,"1","1","unique","1",14.3770000084953
10,2005,"1","1","unique","1",15.5911660286178
11,2005,"1","1","unique","1",16.2859718306298
12,2005,"1","1","unique","1",16.7091073108656
13,2005,"1","1","unique","1",16.9839069326396
14,2005,"1","1","unique","1",17.1719855395292
15,2005,"1","1","unique","1",17.2197646597099
0,2006,"1","1","unique","1",0.000492383556579844
1,2006,"1","1","unique","1",0.0672886422383776
2,2006,"1","1","unique","1",0.548508889616429
3,2006,"1","1","unique","1",1.75291201721861
4,2006,"1","1","unique","1",3.23549874246895
5,2006,"1","1","unique","1",4.87139754410299
6,2006,"1","1","unique","1",6.45182610759561
7,2006,"1","1","unique","1",8.78474562335091
8,2006,"1","1","unique","1",11.596056469812
9,2006,"1","1","unique","1",13.7850377402863
10,2006,"1","1","unique","1",15.1405638810252
11,2006,"1","1","unique","1",15.9489642803316
12,2006,"1","1","unique","1",16.4499375624625
13,2006,"1","1","unique","1",16.7772365044433
14,2006,"1","1","unique","1",17.0014675454624
15,2006,"1","1","unique","1",17.0668971546792
0,2007,"1","1","unique","1",0.000508571940501359
1,2007,"1","1","unique","1",0.0655560996949086
2,2007,"1","1","unique","1",0.468924338382325
3,2007,"1","1","unique","1",1.8345637676701
4,2007,"1","1","unique","1",3.5893063840744
5,2007,"1","1","unique","1",4.98946172712031
6,2007,"1","1","unique","1",6.40831298816143
7,2007,"1","1","unique","1",8.572034693311
8,2007,"1","1","unique","1",11.2407503459793
9,2007,"1","1","unique","1",13.4142396997554
10,2007,"1","1","unique","1",14.8193217913434
11,2007,"1","1","unique","1",15.6832273678076
12,2007,"1","1","unique","1",16.2294175407679
13,2007,"1","1","unique","1",16.5910154261529
14,2007,"1","1","unique","1",16.8409989205697
15,2007,"1","1","unique","1",16.9180672272034
0,2008,"1","1","unique","1",0.000534369533078792
1,2008,"1","1","unique","1",0.0684190161625563
2,2008,"1","1","unique","1",0.459878351090602
3,2008,"1","1","unique","1",1.60983417134546
4,2008,"1","1","unique","1",3.59074776925042
5,2008,"1","1","unique","1",5.27473573078432
6,2008,"1","1","unique","1",6.75702526554011
7,2008,"1","1","unique","1",8.88160743325137
8,2008,"1","1","unique","1",11.3944157779623
9,2008,"1","1","unique","1",13.4284446603845
10,2008,"1","1","unique","1",14.7681823607549
11,2008,"1","1","unique","1",15.6115304937694
12,2008,"1","1","unique","1",16.1553508211826
13,2008,"1","1","unique","1",16.5207148824332
14,2008,"1","1","unique","1",16.7760012011425
15,2008,"1","1","unique","1",16.8537544080329
0,1990,"2","1","unique","1",NA
1,1990,"2","1","unique","1",0.0327881289157315
2,1990,"2","1","unique","1",0.337167691220773
3,1990,"2","1","unique","1",1.35642398606204
4,1990,"2","1","unique","1",3.03955673268145
5,1990,"2","1","unique","1",4.70454414310396
6,1990,"2","1","unique","1",6.19742601441132
7,1990,"2","1","unique","1",8.36230369838182
8,1990,"2","1","unique","1",11.1306680592555
9,1990,"2","1","unique","1",13.4034858508412
10,1990,"2","1","unique","1",14.8497544224023
11,1990,"2","1","unique","1",15.7238937463399
12,1990,"2","1","unique","1",16.2702742784801
13,1990,"2","1","unique","1",16.6296084572372
14,1990,"2","1","unique","1",16.8771056508059
15,1990,"2","1","unique","1",17.0540863966237
0,1991,"2","1","unique","1",NA
1,1991,"2","1","unique","1",0.0328052942547097
2,1991,"2","1","unique","1",0.343677771452219
3,1991,"2","1","unique","1",1.36871142610106
4,1991,"2","1","unique","1",3.01456336075573
5,1991,"2","1","unique","1",4.72141748531402
6,1991,"2","1","unique","1",6.22354261274542
7,1991,"2","1","unique","1",8.32436319240067
8,1991,"2","1","unique","1",11.0099523573104
9,1991,"2","1","unique","1",13.2655993318652
10,1991,"2","1","unique","1",14.7336221014457
11,1991,"2","1","unique","1",15.6332346024226
12,1991,"2","1","unique","1",16.1993935698788
13,1991,"2","1","unique","1",16.5728338863681
14,1991,"2","1","unique","1",16.8303128923752
15,1991,"2","1","unique","1",17.0144592880737
0,1992,"2","1","unique","1",NA
1,1992,"2","1","unique","1",0.0287676906824527
2,1992,"2","1","unique","1",0.330873873026889
3,1992,"2","1","unique","1",1.40928487918277
4,1992,"2","1","unique","1",3.05745751325627
5,1992,"2","1","unique","1",4.7304200480455
6,1992,"2","1","unique","1",6.23343842503874
7,1992,"2","1","unique","1",8.32889443359786
8,1992,"2","1","unique","1",10.9754932216062
9,1992,"2","1","unique","1",13.1986887734672
10,1992,"2","1","unique","1",14.6585148411269
11,1992,"2","1","unique","1",15.5623932913067
12,1992,"2","1","unique","1",16.1361641884113
13,1992,"2","1","unique","1",16.5170936007862
14,1992,"2","1","unique","1",16.7809891768779
15,1992,"2","1","unique","1",16.9703825043566
0,1993,"2","1","unique","1",NA
1,1993,"2","1","unique","1",0.0362735239214325
2,1993,"2","1","unique","1",0.325797055059675
3,1993,"2","1","unique","1",1.29010332209154
4,1993,"2","1","unique","1",3.10531703579771
5,1993,"2","1","unique","1",4.78917342337007
6,1993,"2","1","unique","1",6.28064736739674
7,1993,"2","1","unique","1",8.38337212148335
8,1993,"2","1","unique","1",11.024463740212
9,1993,"2","1","unique","1",13.2261330105875
10,1993,"2","1","unique","1",14.6681273389176
11,1993,"2","1","unique","1",15.5620673986568
12,1993,"2","1","unique","1",16.1310252474855
13,1993,"2","1","unique","1",16.5098062398406
14,1993,"2","1","unique","1",16.7728576133556
15,1993,"2","1","unique","1",16.9620303850408
0,1994,"2","1","unique","1",NA
1,1994,"2","1","unique","1",0.0295883395329759
2,1994,"2","1","unique","1",0.358697301631249
3,1994,"2","1","unique","1",1.37830497497882
4,1994,"2","1","unique","1",2.90322070413652
5,1994,"2","1","unique","1",4.7414549197905
6,1994,"2","1","unique","1",6.33740575257577
7,1994,"2","1","unique","1",8.509372326701
8,1994,"2","1","unique","1",11.1647426165518
9,1994,"2","1","unique","1",13.3319377058822
10,1994,"2","1","unique","1",14.7382702043491
11,1994,"2","1","unique","1",15.6089531590619
12,1994,"2","1","unique","1",16.1640315992807
13,1994,"2","1","unique","1",16.5344008817293
14,1994,"2","1","unique","1",16.7921291030667
15,1994,"2","1","unique","1",16.9777746745184
0,1995,"2","1","unique","1",NA
1,1995,"2","1","unique","1",0.0349356544592963
2,1995,"2","1","unique","1",0.336905278877067
3,1995,"2","1","unique","1",1.4352619626643
4,1995,"2","1","unique","1",3.10500199751093
5,1995,"2","1","unique","1",4.64477604082454
6,1995,"2","1","unique","1",6.17878691229473
7,1995,"2","1","unique","1",8.40347530982453
8,1995,"2","1","unique","1",11.1444797852514
9,1995,"2","1","unique","1",13.357071309748
10,1995,"2","1","unique","1",14.7725287495823
11,1995,"2","1","unique","1",15.6401373545386
12,1995,"2","1","unique","1",16.1901606598677
13,1995,"2","1","unique","1",16.5561060969158
14,1995,"2","1","unique","1",16.8104010242372
15,1995,"2","1","unique","1",16.993455607758
0,1996,"2","1","unique","1",NA
1,1996,"2","1","unique","1",0.0281565611998168
2,1996,"2","1","unique","1",0.347220679655
3,1996,"2","1","unique","1",1.45225157410242
4,1996,"2","1","unique","1",3.15961314076699
5,1996,"2","1","unique","1",4.86523142282405
6,1996,"2","1","unique","1",6.28782483629841
7,1996,"2","1","unique","1",8.31673458155902
8,1996,"2","1","unique","1",10.9543327670948
9,1996,"2","1","unique","1",13.1990070059255
10,1996,"2","1","unique","1",14.6732338850947
11,1996,"2","1","unique","1",15.5815395873827
12,1996,"2","1","unique","1",16.1550985758587
13,1996,"2","1","unique","1",16.5343345376069
14,1996,"2","1","unique","1",16.7963104520137
15,1996,"2","1","unique","1",16.983969869904
0,1997,"2","1","unique","1",NA
1,1997,"2","1","unique","1",0.0364982570609912
2,1997,"2","1","unique","1",0.327162180756641
3,1997,"2","1","unique","1",1.37195934270474
4,1997,"2","1","unique","1",3.26384353390416
5,1997,"2","1","unique","1",4.91403006900958
6,1997,"2","1","unique","1",6.40597345443656
7,1997,"2","1","unique","1",8.51162035446036
8,1997,"2","1","unique","1",11.1146701170537
9,1997,"2","1","unique","1",13.2715781941354
10,1997,"2","1","unique","1",14.6891110358043
11,1997,"2","1","unique","1",15.5728401216492
12,1997,"2","1","unique","1",16.1377793000011
13,1997,"2","1","unique","1",16.5149217451586
14,1997,"2","1","unique","1",16.7772378462499
15,1997,"2","1","unique","1",16.9660287390628
0,1998,"2","1","unique","1",NA
1,1998,"2","1","unique","1",0.0303107508461585
2,1998,"2","1","unique","1",0.365413655804859
3,1998,"2","1","unique","1",1.40905430075429
4,1998,"2","1","unique","1",3.08498973921906
5,1998,"2","1","unique","1",5.0119634591849
6,1998,"2","1","unique","1",6.63472480018507
7,1998,"2","1","unique","1",8.86368453274281
8,1998,"2","1","unique","1",11.4606891645922
9,1998,"2","1","unique","1",13.5066649734555
10,1998,"2","1","unique","1",14.8271206272092
11,1998,"2","1","unique","1",15.652233322182
12,1998,"2","1","unique","1",16.1845856167564
13,1998,"2","1","unique","1",16.5434860096275
14,1998,"2","1","unique","1",16.7952388465784
15,1998,"2","1","unique","1",16.9776661285392
0,1999,"2","1","unique","1",NA
1,1999,"2","1","unique","1",0.0317103477070339
2,1999,"2","1","unique","1",0.322148126855207
3,1999,"2","1","unique","1",1.43763943734643
4,1999,"2","1","unique","1",3.21893953057624
5,1999,"2","1","unique","1",4.8953124344562
6,1999,"2","1","unique","1",6.6617382241046
7,1999,"2","1","unique","1",9.22210657542271
8,1999,"2","1","unique","1",11.9606463019839
9,1999,"2","1","unique","1",13.9230309820686
10,1999,"2","1","unique","1",15.1268563380747
11,1999,"2","1","unique","1",15.866977871305
12,1999,"2","1","unique","1",16.3441506456682
13,1999,"2","1","unique","1",16.667260429997
14,1999,"2","1","unique","1",16.8951142247351
15,1999,"2","1","unique","1",17.0610295676538
0,2000,"2","1","unique","1",NA
1,2000,"2","1","unique","1",0.0281791591068139
2,2000,"2","1","unique","1",0.317887136517663
3,2000,"2","1","unique","1",1.3150772221571
4,2000,"2","1","unique","1",3.1758264535189
5,2000,"2","1","unique","1",5.06462366846695
6,2000,"2","1","unique","1",6.78133301751156
7,2000,"2","1","unique","1",9.34959082735959
8,2000,"2","1","unique","1",12.163483736273
9,2000,"2","1","unique","1",14.1505255707088
10,2000,"2","1","unique","1",15.3361839284519
11,2000,"2","1","unique","1",16.0476006326058
12,2000,"2","1","unique","1",16.4982068884881
13,2000,"2","1","unique","1",16.7996120507538
14,2000,"2","1","unique","1",17.010375883362
15,2000,"2","1","unique","1",17.1629481066263
0,2001,"2","1","unique","1",NA
1,2001,"2","1","unique","1",0.0350849982234395
2,2001,"2","1","unique","1",0.317052660755186
3,2001,"2","1","unique","1",1.21330355862247
4,2001,"2","1","unique","1",2.98778445959137
5,2001,"2","1","unique","1",4.89902415348672
6,2001,"2","1","unique","1",6.81417563580106
7,2001,"2","1","unique","1",9.58528698879502
8,2001,"2","1","unique","1",12.4373052782144
9,2001,"2","1","unique","1",14.3626934636929
10,2001,"2","1","unique","1",15.4908660051781
11,2001,"2","1","unique","1",16.1647028203977
12,2001,"2","1","unique","1",16.5912772042751
13,2001,"2","1","unique","1",16.8766305538792
14,2001,"2","1","unique","1",17.0761484463556
15,2001,"2","1","unique","1",17.2205305388853
0,2002,"2","1","unique","1",NA
1,2002,"2","1","unique","1",0.0339959775830103
2,2002,"2","1","unique","1",0.367048890585333
3,2002,"2","1","unique","1",1.3132633798264
4,2002,"2","1","unique","1",2.76389622885362
5,2002,"2","1","unique","1",4.6495487755448
6,2002,"2","1","unique","1",6.58561543248429
7,2002,"2","1","unique","1",9.46953805904189
8,2002,"2","1","unique","1",12.4833878281412
9,2002,"2","1","unique","1",14.4711532526035
10,2002,"2","1","unique","1",15.600321514747
11,2002,"2","1","unique","1",16.2596955454163
12,2002,"2","1","unique","1",16.6713345968505
13,2002,"2","1","unique","1",16.9444227110971
14,2002,"2","1","unique","1",17.1344175639009
15,2002,"2","1","unique","1",17.2714891398139
0,2003,"2","1","unique","1",NA
1,2003,"2","1","unique","1",0.0302270930423213
2,2003,"2","1","unique","1",0.347132226018011
3,2003,"2","1","unique","1",1.48279349891304
4,2003,"2","1","unique","1",2.95987201885652
5,2003,"2","1","unique","1",4.51706542373011
6,2003,"2","1","unique","1",6.22717112641772
7,2003,"2","1","unique","1",8.95202632648424
8,2003,"2","1","unique","1",12.1047107040282
9,2003,"2","1","unique","1",14.2937276666263
10,2003,"2","1","unique","1",15.5332496108913
11,2003,"2","1","unique","1",16.2413556264864
12,2003,"2","1","unique","1",16.6738097764729
13,2003,"2","1","unique","1",16.9557607311845
14,2003,"2","1","unique","1",17.1494074678073
15,2003,"2","1","unique","1",17.2877992579553
0,2004,"2","1","unique","1",NA
1,2004,"2","1","unique","1",0.0298146114953472
2,2004,"2","1","unique","1",0.315062480815435
3,2004,"2","1","unique","1",1.39711727693925
4,2004,"2","1","unique","1",3.24597046179037
5,2004,"2","1","unique","1",4.81162613172854
6,2004,"2","1","unique","1",6.23572670435844
7,2004,"2","1","unique","1",8.4896652386698
8,2004,"2","1","unique","1",11.4473029873756
9,2004,"2","1","unique","1",13.7902581895462
10,2004,"2","1","unique","1",15.2057004079733
11,2004,"2","1","unique","1",16.0259858380955
12,2004,"2","1","unique","1",16.5239717024282
13,2004,"2","1","unique","1",16.8450846218615
14,2004,"2","1","unique","1",17.0632818893417
15,2004,"2","1","unique","1",17.2178296303226
0,2005,"2","1","unique","1",NA
1,2005,"2","1","unique","1",0.0330024771878572
2,2005,"2","1","unique","1",0.321586309562954
3,2005,"2","1","unique","1",1.23420180569219
4,2005,"2","1","unique","1",3.08997572426155
5,2005,"2","1","unique","1",4.99486858214422
6,2005,"2","1","unique","1",6.54180292489325
7,2005,"2","1","unique","1",8.7219634274915
8,2005,"2","1","unique","1",11.4207732141278
