"stock","year","unit","season","area","iter","data"
"stk2",1990,"unique","all","unique","1",12735.3579206977
"stk2",1991,"unique","all","unique","1",10091.7820219108
"stk2",1992,"unique","all","unique","1",7712.12827585207
"stk2",1993,"unique","all","unique","1",7405.53329204685
"stk2",1994,"unique","all","unique","1",9751.69856146624
"stk2",1995,"unique","all","unique","1",11834.1186480392
"stk2",1996,"unique","all","unique","1",12966.6897906133
"stk2",1997,"unique","all","unique","1",12276.3810886062
"stk2",1998,"unique","all","unique","1",10837.9893523361
"stk2",1999,"unique","all","unique","1",10362.1951662944
"stk2",2000,"unique","all","unique","1",8405.08398021203
"stk2",2001,"unique","all","unique","1",10550.2109828816
"stk2",2002,"unique","all","unique","1",12745.5306810011
"stk2",2003,"unique","all","unique","1",16575.2791525548
"stk2",2004,"unique","all","unique","1",18187.3622246966
"stk2",2005,"unique","all","unique","1",14204.3122234112
"stk2",2006,"unique","all","unique","1",17318.978287371
"stk2",2007,"unique","all","unique","1",20680.2933455847
"stk2",2008,"unique","all","unique","1",16486.2586522107
"stk2",2009,"unique","all","unique","1",NA
"stk2",2010,"unique","all","unique","1",NA
"stk2",2011,"unique","all","unique","1",NA
"stk2",2012,"unique","all","unique","1",NA
"stk2",2013,"unique","all","unique","1",NA
"stk2",2014,"unique","all","unique","1",NA
"stk2",2015,"unique","all","unique","1",NA
"stk2",2016,"unique","all","unique","1",NA
"stk2",2017,"unique","all","unique","1",NA
"stk2",2018,"unique","all","unique","1",NA
"stk2",2019,"unique","all","unique","1",NA
"stk2",2020,"unique","all","unique","1",NA
"stk2",2021,"unique","all","unique","1",NA
"stk2",2022,"unique","all","unique","1",NA
"stk2",2023,"unique","all","unique","1",NA
"stk2",2024,"unique","all","unique","1",NA
"stk2",2025,"unique","all","unique","1",NA
