param,year,unit,season,area,iter,data
r,1990,unique,1,unique,1,1.185527
p,1990,unique,1,unique,1,1
K,1990,unique,1,unique,1,89490
r,1991,unique,1,unique,1,1.185527
p,1991,unique,1,unique,1,1
K,1991,unique,1,unique,1,89490
r,1992,unique,1,unique,1,1.185527
p,1992,unique,1,unique,1,1
K,1992,unique,1,unique,1,89490
r,1993,unique,1,unique,1,1.185527
p,1993,unique,1,unique,1,1
K,1993,unique,1,unique,1,89490
r,1994,unique,1,unique,1,1.185527
p,1994,unique,1,unique,1,1
K,1994,unique,1,unique,1,89490
r,1995,unique,1,unique,1,1.185527
p,1995,unique,1,unique,1,1
K,1995,unique,1,unique,1,89490
r,1996,unique,1,unique,1,1.185527
p,1996,unique,1,unique,1,1
K,1996,unique,1,unique,1,89490
r,1997,unique,1,unique,1,1.185527
p,1997,unique,1,unique,1,1
K,1997,unique,1,unique,1,89490
r,1998,unique,1,unique,1,1.185527
p,1998,unique,1,unique,1,1
K,1998,unique,1,unique,1,89490
r,1999,unique,1,unique,1,1.185527
p,1999,unique,1,unique,1,1
K,1999,unique,1,unique,1,89490
r,2000,unique,1,unique,1,1.185527
p,2000,unique,1,unique,1,1
K,2000,unique,1,unique,1,89490
r,2001,unique,1,unique,1,1.185527
p,2001,unique,1,unique,1,1
K,2001,unique,1,unique,1,89490
r,2002,unique,1,unique,1,1.185527
p,2002,unique,1,unique,1,1
K,2002,unique,1,unique,1,89490
r,2003,unique,1,unique,1,1.185527
p,2003,unique,1,unique,1,1
K,2003,unique,1,unique,1,89490
r,2004,unique,1,unique,1,1.185527
p,2004,unique,1,unique,1,1
K,2004,unique,1,unique,1,89490
r,2005,unique,1,unique,1,1.185527
p,2005,unique,1,unique,1,1
K,2005,unique,1,unique,1,89490
r,2006,unique,1,unique,1,1.185527
p,2006,unique,1,unique,1,1
K,2006,unique,1,unique,1,89490
r,2007,unique,1,unique,1,1.185527
p,2007,unique,1,unique,1,1
K,2007,unique,1,unique,1,89490
r,2008,unique,1,unique,1,1.185527
p,2008,unique,1,unique,1,1
K,2008,unique,1,unique,1,89490
r,2009,unique,1,unique,1,1.185527
p,2009,unique,1,unique,1,1
K,2009,unique,1,unique,1,89490
r,2010,unique,1,unique,1,1.185527
p,2010,unique,1,unique,1,1
K,2010,unique,1,unique,1,89490
r,2011,unique,1,unique,1,1.185527
p,2011,unique,1,unique,1,1
K,2011,unique,1,unique,1,89490
r,2012,unique,1,unique,1,1.185527
p,2012,unique,1,unique,1,1
K,2012,unique,1,unique,1,89490
r,2013,unique,1,unique,1,1.185527
p,2013,unique,1,unique,1,1
K,2013,unique,1,unique,1,89490
r,2014,unique,1,unique,1,1.185527
p,2014,unique,1,unique,1,1
K,2014,unique,1,unique,1,89490
r,2015,unique,1,unique,1,1.185527
p,2015,unique,1,unique,1,1
K,2015,unique,1,unique,1,89490
r,2016,unique,1,unique,1,1.185527
p,2016,unique,1,unique,1,1
K,2016,unique,1,unique,1,89490
r,2017,unique,1,unique,1,1.185527
p,2017,unique,1,unique,1,1
K,2017,unique,1,unique,1,89490
r,2018,unique,1,unique,1,1.185527
p,2018,unique,1,unique,1,1
K,2018,unique,1,unique,1,89490
r,2019,unique,1,unique,1,1.185527
p,2019,unique,1,unique,1,1
K,2019,unique,1,unique,1,89490
r,2020,unique,1,unique,1,1.185527
p,2020,unique,1,unique,1,1
K,2020,unique,1,unique,1,89490
r,2021,unique,1,unique,1,1.185527
p,2021,unique,1,unique,1,1
K,2021,unique,1,unique,1,89490
r,2022,unique,1,unique,1,1.185527
p,2022,unique,1,unique,1,1
K,2022,unique,1,unique,1,89490
r,2023,unique,1,unique,1,1.185527
p,2023,unique,1,unique,1,1
K,2023,unique,1,unique,1,89490
r,2024,unique,1,unique,1,1.185527
p,2024,unique,1,unique,1,1
K,2024,unique,1,unique,1,89490
r,2025,unique,1,unique,1,1.185527
p,2025,unique,1,unique,1,1
K,2025,unique,1,unique,1,89490
r,1990,unique,2,unique,1,1.185527
p,1990,unique,2,unique,1,1
K,1990,unique,2,unique,1,89490
r,1991,unique,2,unique,1,1.185527
p,1991,unique,2,unique,1,1
K,1991,unique,2,unique,1,89490
r,1992,unique,2,unique,1,1.185527
p,1992,unique,2,unique,1,1
K,1992,unique,2,unique,1,89490
r,1993,unique,2,unique,1,1.185527
p,1993,unique,2,unique,1,1
K,1993,unique,2,unique,1,89490
r,1994,unique,2,unique,1,1.185527
p,1994,unique,2,unique,1,1
K,1994,unique,2,unique,1,89490
r,1995,unique,2,unique,1,1.185527
p,1995,unique,2,unique,1,1
K,1995,unique,2,unique,1,89490
r,1996,unique,2,unique,1,1.185527
p,1996,unique,2,unique,1,1
K,1996,unique,2,unique,1,89490
r,1997,unique,2,unique,1,1.185527
p,1997,unique,2,unique,1,1
K,1997,unique,2,unique,1,89490
r,1998,unique,2,unique,1,1.185527
p,1998,unique,2,unique,1,1
K,1998,unique,2,unique,1,89490
r,1999,unique,2,unique,1,1.185527
p,1999,unique,2,unique,1,1
K,1999,unique,2,unique,1,89490
r,2000,unique,2,unique,1,1.185527
p,2000,unique,2,unique,1,1
K,2000,unique,2,unique,1,89490
r,2001,unique,2,unique,1,1.185527
p,2001,unique,2,unique,1,1
K,2001,unique,2,unique,1,89490
r,2002,unique,2,unique,1,1.185527
p,2002,unique,2,unique,1,1
K,2002,unique,2,unique,1,89490
r,2003,unique,2,unique,1,1.185527
p,2003,unique,2,unique,1,1
K,2003,unique,2,unique,1,89490
r,2004,unique,2,unique,1,1.185527
p,2004,unique,2,unique,1,1
K,2004,unique,2,unique,1,89490
r,2005,unique,2,unique,1,1.185527
p,2005,unique,2,unique,1,1
K,2005,unique,2,unique,1,89490
r,2006,unique,2,unique,1,1.185527
p,2006,unique,2,unique,1,1
K,2006,unique,2,unique,1,89490
r,2007,unique,2,unique,1,1.185527
p,2007,unique,2,unique,1,1
K,2007,unique,2,unique,1,89490
r,2008,unique,2,unique,1,1.185527
p,2008,unique,2,unique,1,1
K,2008,unique,2,unique,1,89490
r,2009,unique,2,unique,1,1.185527
p,2009,unique,2,unique,1,1
K,2009,unique,2,unique,1,89490
r,2010,unique,2,unique,1,1.185527
p,2010,unique,2,unique,1,1
K,2010,unique,2,unique,1,89490
r,2011,unique,2,unique,1,1.185527
p,2011,unique,2,unique,1,1
K,2011,unique,2,unique,1,89490
r,2012,unique,2,unique,1,1.185527
p,2012,unique,2,unique,1,1
K,2012,unique,2,unique,1,89490
r,2013,unique,2,unique,1,1.185527
p,2013,unique,2,unique,1,1
K,2013,unique,2,unique,1,89490
r,2014,unique,2,unique,1,1.185527
p,2014,unique,2,unique,1,1
K,2014,unique,2,unique,1,89490
r,2015,unique,2,unique,1,1.185527
p,2015,unique,2,unique,1,1
K,2015,unique,2,unique,1,89490
r,2016,unique,2,unique,1,1.185527
p,2016,unique,2,unique,1,1
K,2016,unique,2,unique,1,89490
r,2017,unique,2,unique,1,1.185527
p,2017,unique,2,unique,1,1
K,2017,unique,2,unique,1,89490
r,2018,unique,2,unique,1,1.185527
p,2018,unique,2,unique,1,1
K,2018,unique,2,unique,1,89490
r,2019,unique,2,unique,1,1.185527
p,2019,unique,2,unique,1,1
K,2019,unique,2,unique,1,89490
r,2020,unique,2,unique,1,1.185527
p,2020,unique,2,unique,1,1
K,2020,unique,2,unique,1,89490
r,2021,unique,2,unique,1,1.185527
p,2021,unique,2,unique,1,1
K,2021,unique,2,unique,1,89490
r,2022,unique,2,unique,1,1.185527
p,2022,unique,2,unique,1,1
K,2022,unique,2,unique,1,89490
r,2023,unique,2,unique,1,1.185527
p,2023,unique,2,unique,1,1
K,2023,unique,2,unique,1,89490
r,2024,unique,2,unique,1,1.185527
p,2024,unique,2,unique,1,1
K,2024,unique,2,unique,1,89490
r,2025,unique,2,unique,1,1.185527
p,2025,unique,2,unique,1,1
K,2025,unique,2,unique,1,89490
r,1990,unique,3,unique,1,1.185527
p,1990,unique,3,unique,1,1
K,1990,unique,3,unique,1,89490
r,1991,unique,3,unique,1,1.185527
p,1991,unique,3,unique,1,1
K,1991,unique,3,unique,1,89490
r,1992,unique,3,unique,1,1.185527
p,1992,unique,3,unique,1,1
K,1992,unique,3,unique,1,89490
r,1993,unique,3,unique,1,1.185527
p,1993,unique,3,unique,1,1
K,1993,unique,3,unique,1,89490
r,1994,unique,3,unique,1,1.185527
p,1994,unique,3,unique,1,1
K,1994,unique,3,unique,1,89490
r,1995,unique,3,unique,1,1.185527
p,1995,unique,3,unique,1,1
K,1995,unique,3,unique,1,89490
r,1996,unique,3,unique,1,1.185527
p,1996,unique,3,unique,1,1
K,1996,unique,3,unique,1,89490
r,1997,unique,3,unique,1,1.185527
p,1997,unique,3,unique,1,1
K,1997,unique,3,unique,1,89490
r,1998,unique,3,unique,1,1.185527
p,1998,unique,3,unique,1,1
K,1998,unique,3,unique,1,89490
r,1999,unique,3,unique,1,1.185527
p,1999,unique,3,unique,1,1
K,1999,unique,3,unique,1,89490
r,2000,unique,3,unique,1,1.185527
p,2000,unique,3,unique,1,1
K,2000,unique,3,unique,1,89490
r,2001,unique,3,unique,1,1.185527
p,2001,unique,3,unique,1,1
K,2001,unique,3,unique,1,89490
r,2002,unique,3,unique,1,1.185527
p,2002,unique,3,unique,1,1
K,2002,unique,3,unique,1,89490
r,2003,unique,3,unique,1,1.185527
p,2003,unique,3,unique,1,1
K,2003,unique,3,unique,1,89490
r,2004,unique,3,unique,1,1.185527
p,2004,unique,3,unique,1,1
K,2004,unique,3,unique,1,89490
r,2005,unique,3,unique,1,1.185527
p,2005,unique,3,unique,1,1
K,2005,unique,3,unique,1,89490
r,2006,unique,3,unique,1,1.185527
p,2006,unique,3,unique,1,1
K,2006,unique,3,unique,1,89490
r,2007,unique,3,unique,1,1.185527
p,2007,unique,3,unique,1,1
K,2007,unique,3,unique,1,89490
r,2008,unique,3,unique,1,1.185527
p,2008,unique,3,unique,1,1
K,2008,unique,3,unique,1,89490
r,2009,unique,3,unique,1,1.185527
p,2009,unique,3,unique,1,1
K,2009,unique,3,unique,1,89490
r,2010,unique,3,unique,1,1.185527
p,2010,unique,3,unique,1,1
K,2010,unique,3,unique,1,89490
r,2011,unique,3,unique,1,1.185527
p,2011,unique,3,unique,1,1
K,2011,unique,3,unique,1,89490
r,2012,unique,3,unique,1,1.185527
p,2012,unique,3,unique,1,1
K,2012,unique,3,unique,1,89490
r,2013,unique,3,unique,1,1.185527
p,2013,unique,3,unique,1,1
K,2013,unique,3,unique,1,89490
r,2014,unique,3,unique,1,1.185527
p,2014,unique,3,unique,1,1
K,2014,unique,3,unique,1,89490
r,2015,unique,3,unique,1,1.185527
p,2015,unique,3,unique,1,1
K,2015,unique,3,unique,1,89490
r,2016,unique,3,unique,1,1.185527
p,2016,unique,3,unique,1,1
K,2016,unique,3,unique,1,89490
r,2017,unique,3,unique,1,1.185527
p,2017,unique,3,unique,1,1
K,2017,unique,3,unique,1,89490
r,2018,unique,3,unique,1,1.185527
p,2018,unique,3,unique,1,1
K,2018,unique,3,unique,1,89490
r,2019,unique,3,unique,1,1.185527
p,2019,unique,3,unique,1,1
K,2019,unique,3,unique,1,89490
r,2020,unique,3,unique,1,1.185527
p,2020,unique,3,unique,1,1
K,2020,unique,3,unique,1,89490
r,2021,unique,3,unique,1,1.185527
p,2021,unique,3,unique,1,1
K,2021,unique,3,unique,1,89490
r,2022,unique,3,unique,1,1.185527
p,2022,unique,3,unique,1,1
K,2022,unique,3,unique,1,89490
r,2023,unique,3,unique,1,1.185527
p,2023,unique,3,unique,1,1
K,2023,unique,3,unique,1,89490
r,2024,unique,3,unique,1,1.185527
p,2024,unique,3,unique,1,1
K,2024,unique,3,unique,1,89490
r,2025,unique,3,unique,1,1.185527
p,2025,unique,3,unique,1,1
K,2025,unique,3,unique,1,89490
r,1990,unique,4,unique,1,1.185527
p,1990,unique,4,unique,1,1
