Year IXa Vb VIa,b VIIa,b,c,f,g,h,j,k VIIIa,b,c,d,e VIIe Total
1975 535 0 32 109 311 87 1074
1976 346 0 0 12 1318 178 1854
1977 224 0 0 177 338 283 1022
1978 73 0 0 27 202 358 660
1979 96 0 0 43 307 190 636
1980 132 0 0 44 489 210 875
1981 157 0 0 28 277 119 581
1982 209 0 0 20 399 118 746
1983 222 0 0 30 648 280 1180
1984 139 0 0 31 796 180 1146
1985 261 0 0 34 843 181 1319
1986 88 0 1 35 829 141 1094
1987 148 0 0 32 950 205 1335
1988 88 0 0 37 880 214 1219
1989 94 0 0 29 851 163 1137
1990 99 0 0 43 863 346 1351
1991 163 0 0 76 891 350 1480
1992 64 0 0 62 867 306 1299
1993 66 0 23 70 613 389 1161
1994 100 0 6 102 645 265 1118
1995 59 0 0 108 578 354 1099
1996 238 0 3 141 625 674 1681
1997 255 0 0 99 646 628 1628
1998 66 0 0 140 554 638 1398 
1999 82 0 0 25 125 86 318
2000 77 2 0 102 1015 759 1955
2001 119 0 0 128 1037 879 2163
2002 76 0 0 116 879 659 1730
2003 51 0 6 118 1209 677 2061
2004 55 2 0 180 1571 1073 2881
2005 105 0 4 205 1431 1041 2786
2006 183 0 0 186 1582 868 2819
2007 267 1 1 193 1441 1046 2949
2008 296 1 0 147 990 879 2313
2009 243 0 2 129 1540 592 2506
2010 331 0 2 117 1665 638 2753
2011 309 0 2 90 1715 665 2781
2012 280 0 0 68 1308 493 2149 
2013 241 0 0 70 971 232 1514 
2014 254 0 1 59 898 190 1402
