"age","year","unit","season","area","iter","data"
"all",1990,"unique","all","unique","1",7067234.43609023
"all",1991,"unique","all","unique","1",9828101.99252802
"all",1992,"unique","all","unique","1",9270304.85678705
"all",1993,"unique","all","unique","1",16323660.9045226
"all",1994,"unique","all","unique","1",9989581.96473552
"all",1995,"unique","all","unique","1",11259067.6691729
"all",1996,"unique","all","unique","1",8087391.87969925
"all",1997,"unique","all","unique","1",11026125
"all",1998,"unique","all","unique","1",0
"all",1999,"unique","all","unique","1",5401659.05236908
"all",2000,"unique","all","unique","1",8457405.82914573
"all",2001,"unique","all","unique","1",3526757.39776952
"all",2002,"unique","all","unique","1",3825031.5
"all",2003,"unique","all","unique","1",2877015.2238806
"all",2004,"unique","all","unique","1",2893642.36775819
"all",2005,"unique","all","unique","1",7888409.33002482
"all",2006,"unique","all","unique","1",2693493.51620948
"all",2007,"unique","all","unique","1",10224675.844806
"all",2008,"unique","all","unique","1",5855972.52195734
"all",2009,"unique","all","unique","1",6376417.56587202
"all",1990,"unique","all","unique","2",6068997
"all",1991,"unique","all","unique","2",8809229.28660826
"all",1992,"unique","all","unique","2",7927901.61892901
"all",1993,"unique","all","unique","2",17849286
"all",1994,"unique","all","unique","2",6669765.78553616
"all",1995,"unique","all","unique","2",16867411.6853933
"all",1996,"unique","all","unique","2",16108125.8291457
"all",1997,"unique","all","unique","2",9158062.5
"all",1998,"unique","all","unique","2",0
"all",1999,"unique","all","unique","2",10729412.8301887
"all",2000,"unique","all","unique","2",5358436.98113207
"all",2001,"unique","all","unique","2",5663186.68341709
"all",2002,"unique","all","unique","2",1960409.39698492
"all",2003,"unique","all","unique","2",5051124.76787955
"all",2004,"unique","all","unique","2",5689513.63636364
"all",2005,"unique","all","unique","2",8840600.8531995
"all",2006,"unique","all","unique","2",12513290.2743142
"all",2007,"unique","all","unique","2",5219924.21052632
"all",2008,"unique","all","unique","2",11613680.798005
"all",2009,"unique","all","unique","2",14211027.0676692
"all",1990,"unique","all","unique","3",8104018.65168539
"all",1991,"unique","all","unique","3",5490371.25
"all",1992,"unique","all","unique","3",11960683.8143036
"all",1993,"unique","all","unique","3",17832971.6708229
"all",1994,"unique","all","unique","3",14867678.1546135
"all",1995,"unique","all","unique","3",7601500.64757161
"all",1996,"unique","all","unique","3",8153551.12219451
"all",1997,"unique","all","unique","3",25615362.9536921
"all",1998,"unique","all","unique","3",0
"all",1999,"unique","all","unique","3",3586244.7761194
"all",2000,"unique","all","unique","3",11564101.5691158
"all",2001,"unique","all","unique","3",5640110.12468828
"all",2002,"unique","all","unique","3",7055947.15181932
"all",2003,"unique","all","unique","3",6473374.38202247
"all",2004,"unique","all","unique","3",8361896.64596273
"all",2005,"unique","all","unique","3",5273943.37078652
"all",2006,"unique","all","unique","3",10756180.5486284
"all",2007,"unique","all","unique","3",4001219.77415307
"all",2008,"unique","all","unique","3",11610223.028786
"all",2009,"unique","all","unique","3",7862206.5
