"age","year","unit","season","area","iter","data"
1,1990,"unique","all","unique","1",0
2,1990,"unique","all","unique","1",0
3,1990,"unique","all","unique","1",0
4,1990,"unique","all","unique","1",0
5,1990,"unique","all","unique","1",1
6,1990,"unique","all","unique","1",1
7,1990,"unique","all","unique","1",1
8,1990,"unique","all","unique","1",1
9,1990,"unique","all","unique","1",1
10,1990,"unique","all","unique","1",1
11,1990,"unique","all","unique","1",1
12,1990,"unique","all","unique","1",1
1,1991,"unique","all","unique","1",0
2,1991,"unique","all","unique","1",0
3,1991,"unique","all","unique","1",0
4,1991,"unique","all","unique","1",0
5,1991,"unique","all","unique","1",1
6,1991,"unique","all","unique","1",1
7,1991,"unique","all","unique","1",1
8,1991,"unique","all","unique","1",1
9,1991,"unique","all","unique","1",1
10,1991,"unique","all","unique","1",1
11,1991,"unique","all","unique","1",1
12,1991,"unique","all","unique","1",1
1,1992,"unique","all","unique","1",0
2,1992,"unique","all","unique","1",0
3,1992,"unique","all","unique","1",0
4,1992,"unique","all","unique","1",0
5,1992,"unique","all","unique","1",1
6,1992,"unique","all","unique","1",1
7,1992,"unique","all","unique","1",1
8,1992,"unique","all","unique","1",1
9,1992,"unique","all","unique","1",1
10,1992,"unique","all","unique","1",1
11,1992,"unique","all","unique","1",1
12,1992,"unique","all","unique","1",1
1,1993,"unique","all","unique","1",0
2,1993,"unique","all","unique","1",0
3,1993,"unique","all","unique","1",0
4,1993,"unique","all","unique","1",0
5,1993,"unique","all","unique","1",1
6,1993,"unique","all","unique","1",1
7,1993,"unique","all","unique","1",1
8,1993,"unique","all","unique","1",1
9,1993,"unique","all","unique","1",1
10,1993,"unique","all","unique","1",1
11,1993,"unique","all","unique","1",1
12,1993,"unique","all","unique","1",1
1,1994,"unique","all","unique","1",0
2,1994,"unique","all","unique","1",0
3,1994,"unique","all","unique","1",0
4,1994,"unique","all","unique","1",0
5,1994,"unique","all","unique","1",1
6,1994,"unique","all","unique","1",1
7,1994,"unique","all","unique","1",1
8,1994,"unique","all","unique","1",1
9,1994,"unique","all","unique","1",1
10,1994,"unique","all","unique","1",1
11,1994,"unique","all","unique","1",1
12,1994,"unique","all","unique","1",1
1,1995,"unique","all","unique","1",0
2,1995,"unique","all","unique","1",0
3,1995,"unique","all","unique","1",0
4,1995,"unique","all","unique","1",0
5,1995,"unique","all","unique","1",1
6,1995,"unique","all","unique","1",1
7,1995,"unique","all","unique","1",1
8,1995,"unique","all","unique","1",1
9,1995,"unique","all","unique","1",1
10,1995,"unique","all","unique","1",1
11,1995,"unique","all","unique","1",1
12,1995,"unique","all","unique","1",1
1,1996,"unique","all","unique","1",0
2,1996,"unique","all","unique","1",0
3,1996,"unique","all","unique","1",0
4,1996,"unique","all","unique","1",0
5,1996,"unique","all","unique","1",1
6,1996,"unique","all","unique","1",1
7,1996,"unique","all","unique","1",1
8,1996,"unique","all","unique","1",1
9,1996,"unique","all","unique","1",1
10,1996,"unique","all","unique","1",1
11,1996,"unique","all","unique","1",1
12,1996,"unique","all","unique","1",1
1,1997,"unique","all","unique","1",0
2,1997,"unique","all","unique","1",0
3,1997,"unique","all","unique","1",0
4,1997,"unique","all","unique","1",0
5,1997,"unique","all","unique","1",1
6,1997,"unique","all","unique","1",1
7,1997,"unique","all","unique","1",1
8,1997,"unique","all","unique","1",1
9,1997,"unique","all","unique","1",1
10,1997,"unique","all","unique","1",1
11,1997,"unique","all","unique","1",1
12,1997,"unique","all","unique","1",1
1,1998,"unique","all","unique","1",0
2,1998,"unique","all","unique","1",0
3,1998,"unique","all","unique","1",0
4,1998,"unique","all","unique","1",0
5,1998,"unique","all","unique","1",1
6,1998,"unique","all","unique","1",1
7,1998,"unique","all","unique","1",1
8,1998,"unique","all","unique","1",1
9,1998,"unique","all","unique","1",1
10,1998,"unique","all","unique","1",1
11,1998,"unique","all","unique","1",1
12,1998,"unique","all","unique","1",1
1,1999,"unique","all","unique","1",0
2,1999,"unique","all","unique","1",0
3,1999,"unique","all","unique","1",0
4,1999,"unique","all","unique","1",0
5,1999,"unique","all","unique","1",1
6,1999,"unique","all","unique","1",1
7,1999,"unique","all","unique","1",1
8,1999,"unique","all","unique","1",1
9,1999,"unique","all","unique","1",1
10,1999,"unique","all","unique","1",1
11,1999,"unique","all","unique","1",1
12,1999,"unique","all","unique","1",1
1,2000,"unique","all","unique","1",0
2,2000,"unique","all","unique","1",0
3,2000,"unique","all","unique","1",0
4,2000,"unique","all","unique","1",0
5,2000,"unique","all","unique","1",1
6,2000,"unique","all","unique","1",1
7,2000,"unique","all","unique","1",1
8,2000,"unique","all","unique","1",1
9,2000,"unique","all","unique","1",1
10,2000,"unique","all","unique","1",1
11,2000,"unique","all","unique","1",1
12,2000,"unique","all","unique","1",1
1,2001,"unique","all","unique","1",0
2,2001,"unique","all","unique","1",0
3,2001,"unique","all","unique","1",0
4,2001,"unique","all","unique","1",0
5,2001,"unique","all","unique","1",1
6,2001,"unique","all","unique","1",1
7,2001,"unique","all","unique","1",1
8,2001,"unique","all","unique","1",1
9,2001,"unique","all","unique","1",1
10,2001,"unique","all","unique","1",1
11,2001,"unique","all","unique","1",1
12,2001,"unique","all","unique","1",1
1,2002,"unique","all","unique","1",0
2,2002,"unique","all","unique","1",0
3,2002,"unique","all","unique","1",0
4,2002,"unique","all","unique","1",0
5,2002,"unique","all","unique","1",1
6,2002,"unique","all","unique","1",1
7,2002,"unique","all","unique","1",1
8,2002,"unique","all","unique","1",1
9,2002,"unique","all","unique","1",1
10,2002,"unique","all","unique","1",1
11,2002,"unique","all","unique","1",1
12,2002,"unique","all","unique","1",1
1,2003,"unique","all","unique","1",0
2,2003,"unique","all","unique","1",0
3,2003,"unique","all","unique","1",0
4,2003,"unique","all","unique","1",0
5,2003,"unique","all","unique","1",1
6,2003,"unique","all","unique","1",1
7,2003,"unique","all","unique","1",1
8,2003,"unique","all","unique","1",1
9,2003,"unique","all","unique","1",1
10,2003,"unique","all","unique","1",1
11,2003,"unique","all","unique","1",1
12,2003,"unique","all","unique","1",1
1,2004,"unique","all","unique","1",0
2,2004,"unique","all","unique","1",0
3,2004,"unique","all","unique","1",0
4,2004,"unique","all","unique","1",0
5,2004,"unique","all","unique","1",1
6,2004,"unique","all","unique","1",1
7,2004,"unique","all","unique","1",1
8,2004,"unique","all","unique","1",1
9,2004,"unique","all","unique","1",1
10,2004,"unique","all","unique","1",1
11,2004,"unique","all","unique","1",1
12,2004,"unique","all","unique","1",1
1,2005,"unique","all","unique","1",0
2,2005,"unique","all","unique","1",0
3,2005,"unique","all","unique","1",0
4,2005,"unique","all","unique","1",0
5,2005,"unique","all","unique","1",1
6,2005,"unique","all","unique","1",1
7,2005,"unique","all","unique","1",1
8,2005,"unique","all","unique","1",1
9,2005,"unique","all","unique","1",1
10,2005,"unique","all","unique","1",1
11,2005,"unique","all","unique","1",1
12,2005,"unique","all","unique","1",1
1,2006,"unique","all","unique","1",0
2,2006,"unique","all","unique","1",0
3,2006,"unique","all","unique","1",0
4,2006,"unique","all","unique","1",0
5,2006,"unique","all","unique","1",1
6,2006,"unique","all","unique","1",1
7,2006,"unique","all","unique","1",1
8,2006,"unique","all","unique","1",1
9,2006,"unique","all","unique","1",1
10,2006,"unique","all","unique","1",1
11,2006,"unique","all","unique","1",1
12,2006,"unique","all","unique","1",1
1,2007,"unique","all","unique","1",0
2,2007,"unique","all","unique","1",0
3,2007,"unique","all","unique","1",0
4,2007,"unique","all","unique","1",0
5,2007,"unique","all","unique","1",1
6,2007,"unique","all","unique","1",1
7,2007,"unique","all","unique","1",1
8,2007,"unique","all","unique","1",1
9,2007,"unique","all","unique","1",1
10,2007,"unique","all","unique","1",1
11,2007,"unique","all","unique","1",1
12,2007,"unique","all","unique","1",1
1,2008,"unique","all","unique","1",0
2,2008,"unique","all","unique","1",0
3,2008,"unique","all","unique","1",0
4,2008,"unique","all","unique","1",0
5,2008,"unique","all","unique","1",1
6,2008,"unique","all","unique","1",1
7,2008,"unique","all","unique","1",1
8,2008,"unique","all","unique","1",1
9,2008,"unique","all","unique","1",1
10,2008,"unique","all","unique","1",1
11,2008,"unique","all","unique","1",1
12,2008,"unique","all","unique","1",1
1,2009,"unique","all","unique","1",0
2,2009,"unique","all","unique","1",0
3,2009,"unique","all","unique","1",0
4,2009,"unique","all","unique","1",0
5,2009,"unique","all","unique","1",1
6,2009,"unique","all","unique","1",1
7,2009,"unique","all","unique","1",1
8,2009,"unique","all","unique","1",1
9,2009,"unique","all","unique","1",1
10,2009,"unique","all","unique","1",1
11,2009,"unique","all","unique","1",1
12,2009,"unique","all","unique","1",1
1,1990,"unique","all","unique","2",0
2,1990,"unique","all","unique","2",0
3,1990,"unique","all","unique","2",0
4,1990,"unique","all","unique","2",0
5,1990,"unique","all","unique","2",1
6,1990,"unique","all","unique","2",1
7,1990,"unique","all","unique","2",1
8,1990,"unique","all","unique","2",1
9,1990,"unique","all","unique","2",1
10,1990,"unique","all","unique","2",1
11,1990,"unique","all","unique","2",1
12,1990,"unique","all","unique","2",1
1,1991,"unique","all","unique","2",0
2,1991,"unique","all","unique","2",0
3,1991,"unique","all","unique","2",0
4,1991,"unique","all","unique","2",0
5,1991,"unique","all","unique","2",1
6,1991,"unique","all","unique","2",1
7,1991,"unique","all","unique","2",1
8,1991,"unique","all","unique","2",1
9,1991,"unique","all","unique","2",1
10,1991,"unique","all","unique","2",1
11,1991,"unique","all","unique","2",1
12,1991,"unique","all","unique","2",1
1,1992,"unique","all","unique","2",0
2,1992,"unique","all","unique","2",0
3,1992,"unique","all","unique","2",0
4,1992,"unique","all","unique","2",0
5,1992,"unique","all","unique","2",1
6,1992,"unique","all","unique","2",1
7,1992,"unique","all","unique","2",1
8,1992,"unique","all","unique","2",1
9,1992,"unique","all","unique","2",1
10,1992,"unique","all","unique","2",1
11,1992,"unique","all","unique","2",1
12,1992,"unique","all","unique","2",1
1,1993,"unique","all","unique","2",0
2,1993,"unique","all","unique","2",0
3,1993,"unique","all","unique","2",0
4,1993,"unique","all","unique","2",0
5,1993,"unique","all","unique","2",1
6,1993,"unique","all","unique","2",1
7,1993,"unique","all","unique","2",1
8,1993,"unique","all","unique","2",1
9,1993,"unique","all","unique","2",1
10,1993,"unique","all","unique","2",1
11,1993,"unique","all","unique","2",1
12,1993,"unique","all","unique","2",1
1,1994,"unique","all","unique","2",0
2,1994,"unique","all","unique","2",0
3,1994,"unique","all","unique","2",0
4,1994,"unique","all","unique","2",0
5,1994,"unique","all","unique","2",1
6,1994,"unique","all","unique","2",1
7,1994,"unique","all","unique","2",1
8,1994,"unique","all","unique","2",1
9,1994,"unique","all","unique","2",1
10,1994,"unique","all","unique","2",1
11,1994,"unique","all","unique","2",1
12,1994,"unique","all","unique","2",1
1,1995,"unique","all","unique","2",0
2,1995,"unique","all","unique","2",0
3,1995,"unique","all","unique","2",0
4,1995,"unique","all","unique","2",0
5,1995,"unique","all","unique","2",1
6,1995,"unique","all","unique","2",1
7,1995,"unique","all","unique","2",1
8,1995,"unique","all","unique","2",1
9,1995,"unique","all","unique","2",1
10,1995,"unique","all","unique","2",1
11,1995,"unique","all","unique","2",1
12,1995,"unique","all","unique","2",1
1,1996,"unique","all","unique","2",0
2,1996,"unique","all","unique","2",0
3,1996,"unique","all","unique","2",0
4,1996,"unique","all","unique","2",0
5,1996,"unique","all","unique","2",1
6,1996,"unique","all","unique","2",1
7,1996,"unique","all","unique","2",1
8,1996,"unique","all","unique","2",1
9,1996,"unique","all","unique","2",1
10,1996,"unique","all","unique","2",1
11,1996,"unique","all","unique","2",1
12,1996,"unique","all","unique","2",1
1,1997,"unique","all","unique","2",0
2,1997,"unique","all","unique","2",0
3,1997,"unique","all","unique","2",0
4,1997,"unique","all","unique","2",0
5,1997,"unique","all","unique","2",1
6,1997,"unique","all","unique","2",1
7,1997,"unique","all","unique","2",1
8,1997,"unique","all","unique","2",1
9,1997,"unique","all","unique","2",1
10,1997,"unique","all","unique","2",1
11,1997,"unique","all","unique","2",1
12,1997,"unique","all","unique","2",1
1,1998,"unique","all","unique","2",0
2,1998,"unique","all","unique","2",0
3,1998,"unique","all","unique","2",0
4,1998,"unique","all","unique","2",0
5,1998,"unique","all","unique","2",1
6,1998,"unique","all","unique","2",1
7,1998,"unique","all","unique","2",1
8,1998,"unique","all","unique","2",1
9,1998,"unique","all","unique","2",1
10,1998,"unique","all","unique","2",1
11,1998,"unique","all","unique","2",1
12,1998,"unique","all","unique","2",1
1,1999,"unique","all","unique","2",0
2,1999,"unique","all","unique","2",0
3,1999,"unique","all","unique","2",0
4,1999,"unique","all","unique","2",0
5,1999,"unique","all","unique","2",1
6,1999,"unique","all","unique","2",1
7,1999,"unique","all","unique","2",1
8,1999,"unique","all","unique","2",1
9,1999,"unique","all","unique","2",1
10,1999,"unique","all","unique","2",1
11,1999,"unique","all","unique","2",1
12,1999,"unique","all","unique","2",1
1,2000,"unique","all","unique","2",0
2,2000,"unique","all","unique","2",0
3,2000,"unique","all","unique","2",0
4,2000,"unique","all","unique","2",0
5,2000,"unique","all","unique","2",1
6,2000,"unique","all","unique","2",1
7,2000,"unique","all","unique","2",1
8,2000,"unique","all","unique","2",1
9,2000,"unique","all","unique","2",1
10,2000,"unique","all","unique","2",1
11,2000,"unique","all","unique","2",1
12,2000,"unique","all","unique","2",1
1,2001,"unique","all","unique","2",0
2,2001,"unique","all","unique","2",0
3,2001,"unique","all","unique","2",0
4,2001,"unique","all","unique","2",0
5,2001,"unique","all","unique","2",1
6,2001,"unique","all","unique","2",1
7,2001,"unique","all","unique","2",1
8,2001,"unique","all","unique","2",1
9,2001,"unique","all","unique","2",1
10,2001,"unique","all","unique","2",1
11,2001,"unique","all","unique","2",1
12,2001,"unique","all","unique","2",1
1,2002,"unique","all","unique","2",0
2,2002,"unique","all","unique","2",0
3,2002,"unique","all","unique","2",0
4,2002,"unique","all","unique","2",0
5,2002,"unique","all","unique","2",1
6,2002,"unique","all","unique","2",1
7,2002,"unique","all","unique","2",1
8,2002,"unique","all","unique","2",1
9,2002,"unique","all","unique","2",1
10,2002,"unique","all","unique","2",1
11,2002,"unique","all","unique","2",1
12,2002,"unique","all","unique","2",1
1,2003,"unique","all","unique","2",0
2,2003,"unique","all","unique","2",0
3,2003,"unique","all","unique","2",0
4,2003,"unique","all","unique","2",0
5,2003,"unique","all","unique","2",1
6,2003,"unique","all","unique","2",1
7,2003,"unique","all","unique","2",1
8,2003,"unique","all","unique","2",1
9,2003,"unique","all","unique","2",1
10,2003,"unique","all","unique","2",1
11,2003,"unique","all","unique","2",1
12,2003,"unique","all","unique","2",1
1,2004,"unique","all","unique","2",0
2,2004,"unique","all","unique","2",0
3,2004,"unique","all","unique","2",0
4,2004,"unique","all","unique","2",0
5,2004,"unique","all","unique","2",1
6,2004,"unique","all","unique","2",1
7,2004,"unique","all","unique","2",1
8,2004,"unique","all","unique","2",1
9,2004,"unique","all","unique","2",1
10,2004,"unique","all","unique","2",1
11,2004,"unique","all","unique","2",1
12,2004,"unique","all","unique","2",1
1,2005,"unique","all","unique","2",0
2,2005,"unique","all","unique","2",0
3,2005,"unique","all","unique","2",0
4,2005,"unique","all","unique","2",0
5,2005,"unique","all","unique","2",1
6,2005,"unique","all","unique","2",1
7,2005,"unique","all","unique","2",1
8,2005,"unique","all","unique","2",1
9,2005,"unique","all","unique","2",1
10,2005,"unique","all","unique","2",1
11,2005,"unique","all","unique","2",1
12,2005,"unique","all","unique","2",1
1,2006,"unique","all","unique","2",0
2,2006,"unique","all","unique","2",0
3,2006,"unique","all","unique","2",0
4,2006,"unique","all","unique","2",0
5,2006,"unique","all","unique","2",1
6,2006,"unique","all","unique","2",1
7,2006,"unique","all","unique","2",1
8,2006,"unique","all","unique","2",1
9,2006,"unique","all","unique","2",1
10,2006,"unique","all","unique","2",1
11,2006,"unique","all","unique","2",1
12,2006,"unique","all","unique","2",1
1,2007,"unique","all","unique","2",0
2,2007,"unique","all","unique","2",0
3,2007,"unique","all","unique","2",0
4,2007,"unique","all","unique","2",0
5,2007,"unique","all","unique","2",1
6,2007,"unique","all","unique","2",1
7,2007,"unique","all","unique","2",1
8,2007,"unique","all","unique","2",1
9,2007,"unique","all","unique","2",1
10,2007,"unique","all","unique","2",1
11,2007,"unique","all","unique","2",1
12,2007,"unique","all","unique","2",1
1,2008,"unique","all","unique","2",0
2,2008,"unique","all","unique","2",0
3,2008,"unique","all","unique","2",0
4,2008,"unique","all","unique","2",0
5,2008,"unique","all","unique","2",1
6,2008,"unique","all","unique","2",1
7,2008,"unique","all","unique","2",1
8,2008,"unique","all","unique","2",1
9,2008,"unique","all","unique","2",1
10,2008,"unique","all","unique","2",1
11,2008,"unique","all","unique","2",1
12,2008,"unique","all","unique","2",1
1,2009,"unique","all","unique","2",0
2,2009,"unique","all","unique","2",0
3,2009,"unique","all","unique","2",0
4,2009,"unique","all","unique","2",0
5,2009,"unique","all","unique","2",1
6,2009,"unique","all","unique","2",1
7,2009,"unique","all","unique","2",1
8,2009,"unique","all","unique","2",1
9,2009,"unique","all","unique","2",1
10,2009,"unique","all","unique","2",1
11,2009,"unique","all","unique","2",1
12,2009,"unique","all","unique","2",1
1,1990,"unique","all","unique","3",0
2,1990,"unique","all","unique","3",0
3,1990,"unique","all","unique","3",0
4,1990,"unique","all","unique","3",0
5,1990,"unique","all","unique","3",1
6,1990,"unique","all","unique","3",1
7,1990,"unique","all","unique","3",1
8,1990,"unique","all","unique","3",1
9,1990,"unique","all","unique","3",1
10,1990,"unique","all","unique","3",1
11,1990,"unique","all","unique","3",1
12,1990,"unique","all","unique","3",1
1,1991,"unique","all","unique","3",0
2,1991,"unique","all","unique","3",0
3,1991,"unique","all","unique","3",0
4,1991,"unique","all","unique","3",0
5,1991,"unique","all","unique","3",1
6,1991,"unique","all","unique","3",1
7,1991,"unique","all","unique","3",1
8,1991,"unique","all","unique","3",1
9,1991,"unique","all","unique","3",1
10,1991,"unique","all","unique","3",1
11,1991,"unique","all","unique","3",1
12,1991,"unique","all","unique","3",1
1,1992,"unique","all","unique","3",0
2,1992,"unique","all","unique","3",0
3,1992,"unique","all","unique","3",0
4,1992,"unique","all","unique","3",0
5,1992,"unique","all","unique","3",1
6,1992,"unique","all","unique","3",1
7,1992,"unique","all","unique","3",1
8,1992,"unique","all","unique","3",1
9,1992,"unique","all","unique","3",1
10,1992,"unique","all","unique","3",1
11,1992,"unique","all","unique","3",1
12,1992,"unique","all","unique","3",1
1,1993,"unique","all","unique","3",0
2,1993,"unique","all","unique","3",0
3,1993,"unique","all","unique","3",0
4,1993,"unique","all","unique","3",0
5,1993,"unique","all","unique","3",1
6,1993,"unique","all","unique","3",1
7,1993,"unique","all","unique","3",1
8,1993,"unique","all","unique","3",1
9,1993,"unique","all","unique","3",1
10,1993,"unique","all","unique","3",1
11,1993,"unique","all","unique","3",1
12,1993,"unique","all","unique","3",1
1,1994,"unique","all","unique","3",0
2,1994,"unique","all","unique","3",0
3,1994,"unique","all","unique","3",0
4,1994,"unique","all","unique","3",0
5,1994,"unique","all","unique","3",1
6,1994,"unique","all","unique","3",1
7,1994,"unique","all","unique","3",1
8,1994,"unique","all","unique","3",1
9,1994,"unique","all","unique","3",1
10,1994,"unique","all","unique","3",1
11,1994,"unique","all","unique","3",1
12,1994,"unique","all","unique","3",1
1,1995,"unique","all","unique","3",0
2,1995,"unique","all","unique","3",0
3,1995,"unique","all","unique","3",0
4,1995,"unique","all","unique","3",0
5,1995,"unique","all","unique","3",1
6,1995,"unique","all","unique","3",1
7,1995,"unique","all","unique","3",1
8,1995,"unique","all","unique","3",1
9,1995,"unique","all","unique","3",1
10,1995,"unique","all","unique","3",1
11,1995,"unique","all","unique","3",1
12,1995,"unique","all","unique","3",1
1,1996,"unique","all","unique","3",0
2,1996,"unique","all","unique","3",0
3,1996,"unique","all","unique","3",0
4,1996,"unique","all","unique","3",0
5,1996,"unique","all","unique","3",1
6,1996,"unique","all","unique","3",1
7,1996,"unique","all","unique","3",1
8,1996,"unique","all","unique","3",1
9,1996,"unique","all","unique","3",1
10,1996,"unique","all","unique","3",1
11,1996,"unique","all","unique","3",1
12,1996,"unique","all","unique","3",1
1,1997,"unique","all","unique","3",0
2,1997,"unique","all","unique","3",0
3,1997,"unique","all","unique","3",0
4,1997,"unique","all","unique","3",0
5,1997,"unique","all","unique","3",1
6,1997,"unique","all","unique","3",1
7,1997,"unique","all","unique","3",1
8,1997,"unique","all","unique","3",1
9,1997,"unique","all","unique","3",1
10,1997,"unique","all","unique","3",1
11,1997,"unique","all","unique","3",1
12,1997,"unique","all","unique","3",1
1,1998,"unique","all","unique","3",0
2,1998,"unique","all","unique","3",0
3,1998,"unique","all","unique","3",0
4,1998,"unique","all","unique","3",0
5,1998,"unique","all","unique","3",1
6,1998,"unique","all","unique","3",1
7,1998,"unique","all","unique","3",1
8,1998,"unique","all","unique","3",1
9,1998,"unique","all","unique","3",1
10,1998,"unique","all","unique","3",1
11,1998,"unique","all","unique","3",1
12,1998,"unique","all","unique","3",1
1,1999,"unique","all","unique","3",0
2,1999,"unique","all","unique","3",0
3,1999,"unique","all","unique","3",0
4,1999,"unique","all","unique","3",0
5,1999,"unique","all","unique","3",1
6,1999,"unique","all","unique","3",1
7,1999,"unique","all","unique","3",1
8,1999,"unique","all","unique","3",1
9,1999,"unique","all","unique","3",1
10,1999,"unique","all","unique","3",1
11,1999,"unique","all","unique","3",1
12,1999,"unique","all","unique","3",1
1,2000,"unique","all","unique","3",0
2,2000,"unique","all","unique","3",0
3,2000,"unique","all","unique","3",0
4,2000,"unique","all","unique","3",0
5,2000,"unique","all","unique","3",1
6,2000,"unique","all","unique","3",1
7,2000,"unique","all","unique","3",1
8,2000,"unique","all","unique","3",1
9,2000,"unique","all","unique","3",1
10,2000,"unique","all","unique","3",1
11,2000,"unique","all","unique","3",1
12,2000,"unique","all","unique","3",1
1,2001,"unique","all","unique","3",0
2,2001,"unique","all","unique","3",0
3,2001,"unique","all","unique","3",0
4,2001,"unique","all","unique","3",0
5,2001,"unique","all","unique","3",1
6,2001,"unique","all","unique","3",1
7,2001,"unique","all","unique","3",1
8,2001,"unique","all","unique","3",1
9,2001,"unique","all","unique","3",1
10,2001,"unique","all","unique","3",1
11,2001,"unique","all","unique","3",1
12,2001,"unique","all","unique","3",1
1,2002,"unique","all","unique","3",0
2,2002,"unique","all","unique","3",0
3,2002,"unique","all","unique","3",0
4,2002,"unique","all","unique","3",0
5,2002,"unique","all","unique","3",1
6,2002,"unique","all","unique","3",1
7,2002,"unique","all","unique","3",1
8,2002,"unique","all","unique","3",1
9,2002,"unique","all","unique","3",1
10,2002,"unique","all","unique","3",1
11,2002,"unique","all","unique","3",1
12,2002,"unique","all","unique","3",1
1,2003,"unique","all","unique","3",0
