"age","year","unit","season","area","iter","data"
"all",1990,"1","1","unique","1",1
"all",1991,"1","1","unique","1",1
"all",1992,"1","1","unique","1",1
"all",1993,"1","1","unique","1",1
"all",1994,"1","1","unique","1",1
"all",1995,"1","1","unique","1",1
"all",1996,"1","1","unique","1",1
"all",1997,"1","1","unique","1",1
"all",1998,"1","1","unique","1",1
"all",1999,"1","1","unique","1",1
"all",2000,"1","1","unique","1",1
"all",2001,"1","1","unique","1",1
"all",2002,"1","1","unique","1",1
"all",2003,"1","1","unique","1",1
"all",2004,"1","1","unique","1",1
"all",2005,"1","1","unique","1",1
"all",2006,"1","1","unique","1",1
"all",2007,"1","1","unique","1",1
"all",2008,"1","1","unique","1",1
"all",2009,"1","1","unique","1",1
"all",2010,"1","1","unique","1",1
"all",2011,"1","1","unique","1",1
"all",2012,"1","1","unique","1",1
"all",2013,"1","1","unique","1",1
"all",2014,"1","1","unique","1",1
"all",2015,"1","1","unique","1",1
"all",2016,"1","1","unique","1",1
"all",2017,"1","1","unique","1",1
"all",2018,"1","1","unique","1",1
"all",2019,"1","1","unique","1",1
"all",2020,"1","1","unique","1",1
"all",2021,"1","1","unique","1",1
"all",2022,"1","1","unique","1",1
"all",2023,"1","1","unique","1",1
"all",2024,"1","1","unique","1",1
"all",2025,"1","1","unique","1",1
"all",1990,"1","1","unique","2",1
"all",1991,"1","1","unique","2",1
"all",1992,"1","1","unique","2",1
"all",1993,"1","1","unique","2",1
"all",1994,"1","1","unique","2",1
"all",1995,"1","1","unique","2",1
"all",1996,"1","1","unique","2",1
"all",1997,"1","1","unique","2",1
"all",1998,"1","1","unique","2",1
"all",1999,"1","1","unique","2",1
"all",2000,"1","1","unique","2",1
"all",2001,"1","1","unique","2",1
"all",2002,"1","1","unique","2",1
"all",2003,"1","1","unique","2",1
"all",2004,"1","1","unique","2",1
"all",2005,"1","1","unique","2",1
"all",2006,"1","1","unique","2",1
"all",2007,"1","1","unique","2",1
"all",2008,"1","1","unique","2",1
"all",2009,"1","1","unique","2",1
"all",2010,"1","1","unique","2",1
"all",2011,"1","1","unique","2",1
"all",2012,"1","1","unique","2",1
"all",2013,"1","1","unique","2",1
"all",2014,"1","1","unique","2",1
"all",2015,"1","1","unique","2",1
"all",2016,"1","1","unique","2",1
"all",2017,"1","1","unique","2",1
"all",2018,"1","1","unique","2",1
"all",2019,"1","1","unique","2",1
"all",2020,"1","1","unique","2",1
"all",2021,"1","1","unique","2",1
"all",2022,"1","1","unique","2",1
"all",2023,"1","1","unique","2",1
"all",2024,"1","1","unique","2",1
"all",2025,"1","1","unique","2",1
"all",1990,"1","1","unique","3",1
"all",1991,"1","1","unique","3",1
"all",1992,"1","1","unique","3",1
"all",1993,"1","1","unique","3",1
"all",1994,"1","1","unique","3",1
"all",1995,"1","1","unique","3",1
"all",1996,"1","1","unique","3",1
"all",1997,"1","1","unique","3",1
"all",1998,"1","1","unique","3",1
"all",1999,"1","1","unique","3",1
"all",2000,"1","1","unique","3",1
"all",2001,"1","1","unique","3",1
"all",2002,"1","1","unique","3",1
"all",2003,"1","1","unique","3",1
"all",2004,"1","1","unique","3",1
"all",2005,"1","1","unique","3",1
"all",2006,"1","1","unique","3",1
"all",2007,"1","1","unique","3",1
"all",2008,"1","1","unique","3",1
"all",2009,"1","1","unique","3",1
"all",2010,"1","1","unique","3",1
"all",2011,"1","1","unique","3",1
"all",2012,"1","1","unique","3",1
"all",2013,"1","1","unique","3",1
"all",2014,"1","1","unique","3",1
"all",2015,"1","1","unique","3",1
"all",2016,"1","1","unique","3",1
"all",2017,"1","1","unique","3",1
"all",2018,"1","1","unique","3",1
"all",2019,"1","1","unique","3",1
"all",2020,"1","1","unique","3",1
"all",2021,"1","1","unique","3",1
"all",2022,"1","1","unique","3",1
"all",2023,"1","1","unique","3",1
"all",2024,"1","1","unique","3",1
"all",2025,"1","1","unique","3",1
