"age","year","unit","season","area","iter","data"
"all",1990,"unique","all","unique","1",1956.11871867409
"all",1991,"unique","all","unique","1",2199.71736566301
"all",1992,"unique","all","unique","1",2311.33207147233
"all",1993,"unique","all","unique","1",2210.31520361472
"all",1994,"unique","all","unique","1",1905.49285107071
"all",1995,"unique","all","unique","1",1474.2710614474
"all",1996,"unique","all","unique","1",1340.06943140253
"all",1997,"unique","all","unique","1",1070.36918131954
"all",1998,"unique","all","unique","1",711.118398975392
"all",1999,"unique","all","unique","1",624.417830841766
"all",2000,"unique","all","unique","1",644.168488777316
"all",2001,"unique","all","unique","1",676.249134355604
"all",2002,"unique","all","unique","1",755.703128100473
"all",2003,"unique","all","unique","1",854.355115916409
"all",2004,"unique","all","unique","1",934.891713616745
"all",2005,"unique","all","unique","1",1048.92372869486
"all",2006,"unique","all","unique","1",1150.08736692578
"all",2007,"unique","all","unique","1",1316.8687629602
"all",2008,"unique","all","unique","1",1379.66052038404
"all",2009,"unique","all","unique","1",1475.70467745347
"all",1990,"unique","all","unique","2",2022.54585136345
"all",1991,"unique","all","unique","2",2207.10788099439
"all",1992,"unique","all","unique","2",2334.49224382068
"all",1993,"unique","all","unique","2",2210.69121802855
"all",1994,"unique","all","unique","2",1917.91713057827
"all",1995,"unique","all","unique","2",1406.80014616799
"all",1996,"unique","all","unique","2",1313.54309632518
"all",1997,"unique","all","unique","2",1031.47131322528
"all",1998,"unique","all","unique","2",673.464406373452
"all",1999,"unique","all","unique","2",565.435041595143
"all",2000,"unique","all","unique","2",567.516353039148
"all",2001,"unique","all","unique","2",578.201178347438
"all",2002,"unique","all","unique","2",646.606021558202
"all",2003,"unique","all","unique","2",758.934495287695
"all",2004,"unique","all","unique","2",893.277198709234
"all",2005,"unique","all","unique","2",990.307760265907
"all",2006,"unique","all","unique","2",1066.34339842268
"all",2007,"unique","all","unique","2",1220.17808137229
"all",2008,"unique","all","unique","2",1288.81972382425
"all",2009,"unique","all","unique","2",1463.76652159523
"all",1990,"unique","all","unique","3",1994.56316458645
"all",1991,"unique","all","unique","3",2214.37709836092
"all",1992,"unique","all","unique","3",2331.07648097753
"all",1993,"unique","all","unique","3",2224.69336256311
"all",1994,"unique","all","unique","3",1990.35927798891
"all",1995,"unique","all","unique","3",1489.88897477646
"all",1996,"unique","all","unique","3",1327.03509514174
"all",1997,"unique","all","unique","3",998.450360815543
"all",1998,"unique","all","unique","3",688.184701301743
"all",1999,"unique","all","unique","3",624.592159314253
"all",2000,"unique","all","unique","3",635.392910686964
"all",2001,"unique","all","unique","3",640.314543792324
"all",2002,"unique","all","unique","3",690.261486780056
"all",2003,"unique","all","unique","3",750.000593873199
"all",2004,"unique","all","unique","3",828.909830801197
"all",2005,"unique","all","unique","3",982.1582302795
"all",2006,"unique","all","unique","3",1126.69099450069
"all",2007,"unique","all","unique","3",1282.22320455799
"all",2008,"unique","all","unique","3",1439.34333299817
"all",2009,"unique","all","unique","3",1603.67334669941
