"age","year","unit","season","area","iter","data"
1,1990,"unique","all","unique","1",9.23771836666667
2,1990,"unique","all","unique","1",42.0167524833333
3,1990,"unique","all","unique","1",72.6933421166666
4,1990,"unique","all","unique","1",84.8420525166666
5,1990,"unique","all","unique","1",92.2219582666665
6,1990,"unique","all","unique","1",77.8450373333332
7,1990,"unique","all","unique","1",53.1479191333333
8,1990,"unique","all","unique","1",34.8788982857142
9,1990,"unique","all","unique","1",17.0783714857143
10,1990,"unique","all","unique","1",8.18299481904761
11,1990,"unique","all","unique","1",2.89644435238095
12,1990,"unique","all","unique","1",1.23632312380952
1,1991,"unique","all","unique","1",7.35902133333333
2,1991,"unique","all","unique","1",28.8433010666666
3,1991,"unique","all","unique","1",53.8678301999999
4,1991,"unique","all","unique","1",55.5410612666666
5,1991,"unique","all","unique","1",71.0508135999999
6,1991,"unique","all","unique","1",69.9439785999999
7,1991,"unique","all","unique","1",52.2093543999999
8,1991,"unique","all","unique","1",41.13231
9,1991,"unique","all","unique","1",31.0312609619047
10,1991,"unique","all","unique","1",14.5891212952381
11,1991,"unique","all","unique","1",5.64769962857143
12,1991,"unique","all","unique","1",2.05375591428571
1,1992,"unique","all","unique","1",9.58070513333334
2,1992,"unique","all","unique","1",50.3911792333333
3,1992,"unique","all","unique","1",82.7280996666666
4,1992,"unique","all","unique","1",86.8035057999999
5,1992,"unique","all","unique","1",83.1566671333332
6,1992,"unique","all","unique","1",84.2160874666666
7,1992,"unique","all","unique","1",75.3837920666666
8,1992,"unique","all","unique","1",68.9529374666666
9,1992,"unique","all","unique","1",50.1024328
10,1992,"unique","all","unique","1",28.6541905333333
11,1992,"unique","all","unique","1",9.58760119999999
12,1992,"unique","all","unique","1",3.70136533333333
1,1993,"unique","all","unique","1",9.83491613333333
2,1993,"unique","all","unique","1",57.6260869
3,1993,"unique","all","unique","1",113.402378133333
4,1993,"unique","all","unique","1",105.431297533333
5,1993,"unique","all","unique","1",105.531682
6,1993,"unique","all","unique","1",93.0246175999999
7,1993,"unique","all","unique","1",91.1505977333332
8,1993,"unique","all","unique","1",89.2819220666666
9,1993,"unique","all","unique","1",61.2144979999999
10,1993,"unique","all","unique","1",30.2191887333333
11,1993,"unique","all","unique","1",12.5971742
12,1993,"unique","all","unique","1",4.1098196
1,1994,"unique","all","unique","1",7.16466213333333
2,1994,"unique","all","unique","1",51.5432105
3,1994,"unique","all","unique","1",117.841346066667
4,1994,"unique","all","unique","1",139.379051333333
5,1994,"unique","all","unique","1",131.517816866667
6,1994,"unique","all","unique","1",121.138327666667
7,1994,"unique","all","unique","1",97.5953472666666
8,1994,"unique","all","unique","1",94.1143071333332
9,1994,"unique","all","unique","1",67.6154615333332
10,1994,"unique","all","unique","1",30.6264868
11,1994,"unique","all","unique","1",10.7391807333333
12,1994,"unique","all","unique","1",4.39898446666667
1,1995,"unique","all","unique","1",21.08207125
2,1995,"unique","all","unique","1",95.6687186166666
3,1995,"unique","all","unique","1",182.814901283333
4,1995,"unique","all","unique","1",154.948270933333
5,1995,"unique","all","unique","1",110.8860734
6,1995,"unique","all","unique","1",71.1826066
7,1995,"unique","all","unique","1",56.5453926
8,1995,"unique","all","unique","1",47.1762634666666
9,1995,"unique","all","unique","1",36.9336230666666
10,1995,"unique","all","unique","1",17.9974036666666
11,1995,"unique","all","unique","1",5.79258926666666
12,1995,"unique","all","unique","1",2.08280126666667
1,1996,"unique","all","unique","1",27.3698269
2,1996,"unique","all","unique","1",109.688631366667
3,1996,"unique","all","unique","1",204.056217
4,1996,"unique","all","unique","1",209.3118454
5,1996,"unique","all","unique","1",134.262645866667
6,1996,"unique","all","unique","1",94.5620088666666
7,1996,"unique","all","unique","1",67.7437040666666
8,1996,"unique","all","unique","1",61.7519147333332
9,1996,"unique","all","unique","1",43.1003275333333
10,1996,"unique","all","unique","1",23.9647528666666
11,1996,"unique","all","unique","1",7.94278493333333
12,1996,"unique","all","unique","1",2.5256424
1,1997,"unique","all","unique","1",38.56594605
2,1997,"unique","all","unique","1",156.791884716667
3,1997,"unique","all","unique","1",219.314216383333
4,1997,"unique","all","unique","1",216.587343333333
5,1997,"unique","all","unique","1",166.096390733333
6,1997,"unique","all","unique","1",95.7056985999999
7,1997,"unique","all","unique","1",74.4909349999999
8,1997,"unique","all","unique","1",58.1304759333333
9,1997,"unique","all","unique","1",41.4877135428571
10,1997,"unique","all","unique","1",19.8395230761905
11,1997,"unique","all","unique","1",7.9826098095238
12,1997,"unique","all","unique","1",2.54631417142857
1,1998,"unique","all","unique","1",33.8980938333333
2,1998,"unique","all","unique","1",127.902755333333
3,1998,"unique","all","unique","1",224.845511533333
4,1998,"unique","all","unique","1",181.762962866666
5,1998,"unique","all","unique","1",118.532074533333
6,1998,"unique","all","unique","1",64.7394472
7,1998,"unique","all","unique","1",33.8738068
8,1998,"unique","all","unique","1",25.0628547333333
9,1998,"unique","all","unique","1",13.4148406
10,1998,"unique","all","unique","1",5.96238886666666
11,1998,"unique","all","unique","1",1.7540278
12,1998,"unique","all","unique","1",0.532882466666667
1,1999,"unique","all","unique","1",5.41707763333333
2,1999,"unique","all","unique","1",35.4348953333333
3,1999,"unique","all","unique","1",74.6421753999999
4,1999,"unique","all","unique","1",90.2240617999999
5,1999,"unique","all","unique","1",62.4142407999999
6,1999,"unique","all","unique","1",41.0527876666666
7,1999,"unique","all","unique","1",26.8422693333333
8,1999,"unique","all","unique","1",16.317577
9,1999,"unique","all","unique","1",10.6159073333333
10,1999,"unique","all","unique","1",4.78737253333333
11,1999,"unique","all","unique","1",1.6766378
12,1999,"unique","all","unique","1",0.421336866666667
1,2000,"unique","all","unique","1",3.603252
2,2000,"unique","all","unique","1",20.2177970666667
3,2000,"unique","all","unique","1",67.3504966666666
4,2000,"unique","all","unique","1",97.0452668666666
5,2000,"unique","all","unique","1",86.2264845999999
6,2000,"unique","all","unique","1",44.3164162
7,2000,"unique","all","unique","1",26.2597128
8,2000,"unique","all","unique","1",16.9827289333333
9,2000,"unique","all","unique","1",9.86023893333332
10,2000,"unique","all","unique","1",5.40015793333333
11,2000,"unique","all","unique","1",1.84504946666667
12,2000,"unique","all","unique","1",0.545878533333333
1,2001,"unique","all","unique","1",2.95469693333333
2,2001,"unique","all","unique","1",21.0063039333333
3,2001,"unique","all","unique","1",42.3484059333333
4,2001,"unique","all","unique","1",63.9991909999999
5,2001,"unique","all","unique","1",51.5510095333333
6,2001,"unique","all","unique","1",33.4250737333333
7,2001,"unique","all","unique","1",18.025929
8,2001,"unique","all","unique","1",13.9178288666667
9,2001,"unique","all","unique","1",11.1318698
10,2001,"unique","all","unique","1",5.69070619999999
11,2001,"unique","all","unique","1",2.1291648
12,2001,"unique","all","unique","1",0.617808733333333
1,2002,"unique","all","unique","1",1.98044863333333
2,2002,"unique","all","unique","1",13.4654414666667
3,2002,"unique","all","unique","1",28.7486731333333
4,2002,"unique","all","unique","1",30.3239882666666
5,2002,"unique","all","unique","1",35.1387622
6,2002,"unique","all","unique","1",26.5203740666666
7,2002,"unique","all","unique","1",19.3416094666666
8,2002,"unique","all","unique","1",11.2922024
9,2002,"unique","all","unique","1",8.50078666666666
10,2002,"unique","all","unique","1",6.11856033333333
11,2002,"unique","all","unique","1",2.51923413333333
12,2002,"unique","all","unique","1",0.957635333333333
1,2003,"unique","all","unique","1",4.5677921
2,2003,"unique","all","unique","1",18.1792068666667
3,2003,"unique","all","unique","1",36.2394956666666
4,2003,"unique","all","unique","1",35.6860909333333
5,2003,"unique","all","unique","1",30.9848447333333
6,2003,"unique","all","unique","1",32.9169124
7,2003,"unique","all","unique","1",25.3785814666666
