"age","year","unit","season","area","iter","data"
"all",1990,"unique","all","unique","1",1
"all",1991,"unique","all","unique","1",1
"all",1992,"unique","all","unique","1",1
"all",1993,"unique","all","unique","1",1
"all",1994,"unique","all","unique","1",1
"all",1995,"unique","all","unique","1",1
"all",1996,"unique","all","unique","1",1
"all",1997,"unique","all","unique","1",1
"all",1998,"unique","all","unique","1",1
"all",1999,"unique","all","unique","1",1
"all",2000,"unique","all","unique","1",1
"all",2001,"unique","all","unique","1",1
"all",2002,"unique","all","unique","1",1
"all",2003,"unique","all","unique","1",1
"all",2004,"unique","all","unique","1",1
"all",2005,"unique","all","unique","1",1
"all",2006,"unique","all","unique","1",1
"all",2007,"unique","all","unique","1",1
"all",2008,"unique","all","unique","1",1
"all",2009,"unique","all","unique","1",1
"all",1990,"unique","all","unique","2",1
"all",1991,"unique","all","unique","2",1
"all",1992,"unique","all","unique","2",1
"all",1993,"unique","all","unique","2",1
"all",1994,"unique","all","unique","2",1
"all",1995,"unique","all","unique","2",1
"all",1996,"unique","all","unique","2",1
"all",1997,"unique","all","unique","2",1
"all",1998,"unique","all","unique","2",1
"all",1999,"unique","all","unique","2",1
"all",2000,"unique","all","unique","2",1
"all",2001,"unique","all","unique","2",1
"all",2002,"unique","all","unique","2",1
"all",2003,"unique","all","unique","2",1
"all",2004,"unique","all","unique","2",1
"all",2005,"unique","all","unique","2",1
"all",2006,"unique","all","unique","2",1
"all",2007,"unique","all","unique","2",1
"all",2008,"unique","all","unique","2",1
"all",2009,"unique","all","unique","2",1
"all",1990,"unique","all","unique","3",1
"all",1991,"unique","all","unique","3",1
"all",1992,"unique","all","unique","3",1
"all",1993,"unique","all","unique","3",1
"all",1994,"unique","all","unique","3",1
"all",1995,"unique","all","unique","3",1
"all",1996,"unique","all","unique","3",1
"all",1997,"unique","all","unique","3",1
"all",1998,"unique","all","unique","3",1
"all",1999,"unique","all","unique","3",1
"all",2000,"unique","all","unique","3",1
"all",2001,"unique","all","unique","3",1
"all",2002,"unique","all","unique","3",1
"all",2003,"unique","all","unique","3",1
"all",2004,"unique","all","unique","3",1
"all",2005,"unique","all","unique","3",1
"all",2006,"unique","all","unique","3",1
"all",2007,"unique","all","unique","3",1
"all",2008,"unique","all","unique","3",1
"all",2009,"unique","all","unique","3",1
