"age","year","unit","season","area","iter","data"
1,1990,"unique","all","unique","1",1583.2147680041
1,1991,"unique","all","unique","1",1625.18886265481
1,1992,"unique","all","unique","1",1562.29804833991
1,1993,"unique","all","unique","1",1762.8183701274
1,1994,"unique","all","unique","1",1659.51983868921
1,1995,"unique","all","unique","1",1486.59590322158
1,1996,"unique","all","unique","1",1443.39159173463
1,1997,"unique","all","unique","1",1247.08961314682
1,1998,"unique","all","unique","1",1007.80325042063
1,1999,"unique","all","unique","1",861.604488098184
1,2000,"unique","all","unique","1",968.10521150357
1,2001,"unique","all","unique","1",1066.31188198808
1,2002,"unique","all","unique","1",1317.08581523634
1,2003,"unique","all","unique","1",1439.21180210944
1,2004,"unique","all","unique","1",1485.97902904163
1,2005,"unique","all","unique","1",1570.98192993125
1,2006,"unique","all","unique","1",1126.16635539354
1,2007,"unique","all","unique","1",1047.90013727351
1,2008,"unique","all","unique","1",1319.64159947669
1,2009,"unique","all","unique","1",1319.64159947669
1,1990,"unique","all","unique","2",1625.98693369788
1,1991,"unique","all","unique","2",1308.49217740004
1,1992,"unique","all","unique","2",1685.97138006973
1,1993,"unique","all","unique","2",1652.65431190774
1,1994,"unique","all","unique","2",1586.60546357347
1,1995,"unique","all","unique","2",1244.97416110881
1,1996,"unique","all","unique","2",1335.58687917655
1,1997,"unique","all","unique","2",1162.2292016643
1,1998,"unique","all","unique","2",961.056554772564
1,1999,"unique","all","unique","2",869.217275563058
1,2000,"unique","all","unique","2",1121.54018106653
1,2001,"unique","all","unique","2",972.3047496691
1,2002,"unique","all","unique","2",1291.0392473966
1,2003,"unique","all","unique","2",1432.63480796022
1,2004,"unique","all","unique","2",1346.4428813135
1,2005,"unique","all","unique","2",1791.42917603413
1,2006,"unique","all","unique","2",2148.2599096595
1,2007,"unique","all","unique","2",1274.65542142064
1,2008,"unique","all","unique","2",1343.10000161923
1,2009,"unique","all","unique","2",1343.10000161923
1,1990,"unique","all","unique","3",1860.67034347026
1,1991,"unique","all","unique","3",1431.99773965922
1,1992,"unique","all","unique","3",1468.81396323041
1,1993,"unique","all","unique","3",1426.8818749418
1,1994,"unique","all","unique","3",1816.42882555244
1,1995,"unique","all","unique","3",1578.36853404476
1,1996,"unique","all","unique","3",1389.22790719598
1,1997,"unique","all","unique","3",1153.72650764365
1,1998,"unique","all","unique","3",889.336209024909
1,1999,"unique","all","unique","3",691.276867247826
1,2000,"unique","all","unique","3",851.250581970668
1,2001,"unique","all","unique","3",1055.84621652359
1,2002,"unique","all","unique","3",1361.05169264086
1,2003,"unique","all","unique","3",1347.88521829088
1,2004,"unique","all","unique","3",1742.52633974687
1,2005,"unique","all","unique","3",1815.16556413138
1,2006,"unique","all","unique","3",1778.99307926343
1,2007,"unique","all","unique","3",596.457599397209
1,2008,"unique","all","unique","3",1281.84230330087
1,2009,"unique","all","unique","3",1281.84230330087
