"age","year","unit","season","area","iter","data"
"all",1990,"1","1","unique","1",1
"all",1991,"1","1","unique","1",NA
"all",1992,"1","1","unique","1",3.6514490185715e-43
"all",1993,"1","1","unique","1",5.47792043362239e+73
"all",1994,"1","1","unique","1",1.43424374723565e-20
"all",1995,"1","1","unique","1",5.06983326444018e-45
"all",1996,"1","1","unique","1",NA
"all",1997,"1","1","unique","1",5.16377462687741e-66
"all",1998,"1","1","unique","1",4.28957251036607e-81
"all",1999,"1","1","unique","1",1.30022964049942e-26
"all",2000,"1","1","unique","1",9.42896623237836e+27
"all",2001,"1","1","unique","1",4.78970009161676e+30
"all",2002,"1","1","unique","1",3.38354100517389e+102
"all",2003,"1","1","unique","1",3.42175113136413e+58
"all",2004,"1","1","unique","1",NA
"all",2005,"1","1","unique","1",1.82566461258995e+34
"all",2006,"1","1","unique","1",4.66182228873244e-21
"all",2007,"1","1","unique","1",8.23292552063753e-63
"all",2008,"1","1","unique","1",1
"all",2009,"1","1","unique","1",1
"all",2010,"1","1","unique","1",1
"all",2011,"1","1","unique","1",1
"all",2012,"1","1","unique","1",1
"all",2013,"1","1","unique","1",1
"all",2014,"1","1","unique","1",1
"all",2015,"1","1","unique","1",1
"all",2016,"1","1","unique","1",1
"all",2017,"1","1","unique","1",1
"all",2018,"1","1","unique","1",1
"all",2019,"1","1","unique","1",1
"all",2020,"1","1","unique","1",1
"all",2021,"1","1","unique","1",1
"all",2022,"1","1","unique","1",1
"all",2023,"1","1","unique","1",1
"all",2024,"1","1","unique","1",1
"all",2025,"1","1","unique","1",1
"all",1990,"1","1","unique","2",1
"all",1991,"1","1","unique","2",NA
"all",1992,"1","1","unique","2",2.3328055605523e+146
"all",1993,"1","1","unique","2",8.80345164110872e-16
"all",1994,"1","1","unique","2",5.81328892996963e-23
"all",1995,"1","1","unique","2",2.4144873507089e-135
"all",1996,"1","1","unique","2",2.53383081880214e+87
"all",1997,"1","1","unique","2",3.4136281392231e-78
"all",1998,"1","1","unique","2",2.12832184176102e-73
"all",1999,"1","1","unique","2",4441138192.011
"all",2000,"1","1","unique","2",2.38775880848318e+105
"all",2001,"1","1","unique","2",1.08552618075394e-56
"all",2002,"1","1","unique","2",3.77351685481018e+126
"all",2003,"1","1","unique","2",8.45359778305069e+42
"all",2004,"1","1","unique","2",NA
"all",2005,"1","1","unique","2",2.58417800592103e+180
"all",2006,"1","1","unique","2",5.34610034517597e+232
"all",2007,"1","1","unique","2",2.29019677974961e-299
"all",2008,"1","1","unique","2",1
"all",2009,"1","1","unique","2",1
"all",2010,"1","1","unique","2",1
"all",2011,"1","1","unique","2",1
"all",2012,"1","1","unique","2",1
"all",2013,"1","1","unique","2",1
"all",2014,"1","1","unique","2",1
"all",2015,"1","1","unique","2",1
"all",2016,"1","1","unique","2",1
"all",2017,"1","1","unique","2",1
"all",2018,"1","1","unique","2",1
"all",2019,"1","1","unique","2",1
"all",2020,"1","1","unique","2",1
"all",2021,"1","1","unique","2",1
"all",2022,"1","1","unique","2",1
"all",2023,"1","1","unique","2",1
"all",2024,"1","1","unique","2",1
"all",2025,"1","1","unique","2",1
"all",1990,"1","1","unique","3",1
"all",1991,"1","1","unique","3",NA
"all",1992,"1","1","unique","3",NA
"all",1993,"1","1","unique","3",3.43910437909674e+31
"all",1994,"1","1","unique","3",1.72831200010333e+178
"all",1995,"1","1","unique","3",NA
"all",1996,"1","1","unique","3",1.74902905474719e-27
"all",1997,"1","1","unique","3",6.56563167744235e-78
"all",1998,"1","1","unique","3",3.99705924980876e-102
"all",1999,"1","1","unique","3",3.51864000268839e-78
"all",2000,"1","1","unique","3",1.94298620389665e+33
"all",2001,"1","1","unique","3",1.88968362617546e+50
"all",2002,"1","1","unique","3",1.43760200990827e+131
"all",2003,"1","1","unique","3",NA
"all",2004,"1","1","unique","3",4.86312844942e+221
"all",2005,"1","1","unique","3",2.62533196060091e+183
"all",2006,"1","1","unique","3",1.61176028250871e+70
"all",2007,"1","1","unique","3",2.69266744217578e-146
"all",2008,"1","1","unique","3",1
"all",2009,"1","1","unique","3",1
"all",2010,"1","1","unique","3",1
"all",2011,"1","1","unique","3",1
"all",2012,"1","1","unique","3",1
"all",2013,"1","1","unique","3",1
"all",2014,"1","1","unique","3",1
"all",2015,"1","1","unique","3",1
"all",2016,"1","1","unique","3",1
"all",2017,"1","1","unique","3",1
"all",2018,"1","1","unique","3",1
"all",2019,"1","1","unique","3",1
"all",2020,"1","1","unique","3",1
"all",2021,"1","1","unique","3",1
"all",2022,"1","1","unique","3",1
"all",2023,"1","1","unique","3",1
"all",2024,"1","1","unique","3",1
"all",2025,"1","1","unique","3",1
