"age","year","unit","season","area","iter","data"
all,1990,"1","1","unique","1",2335.79430861568
all,1991,"1","1","unique","1",1996.91029864019
all,1992,"1","1","unique","1",1850.68078794406
all,1993,"1","1","unique","1",1486.35688836505
all,1994,"1","1","unique","1",1641.07425125558
all,1995,"1","1","unique","1",1949.75772585737
all,1996,"1","1","unique","1",2629.13215681966
all,1997,"1","1","unique","1",2221.16537794159
all,1998,"1","1","unique","1",1693.45410059269
all,1999,"1","1","unique","1",2003.07692164337
all,2000,"1","1","unique","1",1647.07369261496
all,2001,"1","1","unique","1",1914.80618153561
all,2002,"1","1","unique","1",2282.37577175491
all,2003,"1","1","unique","1",2984.05196503493
all,2004,"1","1","unique","1",3230.58762572259
all,2005,"1","1","unique","1",2531.11598246261
all,2006,"1","1","unique","1",3185.7149384135
all,2007,"1","1","unique","1",3843.95624891804
all,2008,"1","1","unique","1",2994.32991457059
all,1990,"1","2","unique","1",2622.85272628382
all,1991,"1","2","unique","1",2584.05262929214
all,1992,"1","2","unique","1",1991.14297085095
all,1993,"1","2","unique","1",1615.80989358872
all,1994,"1","2","unique","1",2050.7206081432
all,1995,"1","2","unique","1",2480.29096631503
all,1996,"1","2","unique","1",2951.77697208497
all,1997,"1","2","unique","1",2928.00741718099
all,1998,"1","2","unique","1",2866.79171360729
all,1999,"1","2","unique","1",2450.43832464212
all,2000,"1","2","unique","1",2024.74186395256
all,2001,"1","2","unique","1",2271.16538163175
all,2002,"1","2","unique","1",2753.26841840468
all,2003,"1","2","unique","1",3623.7887923807
all,2004,"1","2","unique","1",3860.03390910778
all,2005,"1","2","unique","1",3018.83415901103
all,2006,"1","2","unique","1",3818.2929025029
all,2007,"1","2","unique","1",4621.83247553052
all,2008,"1","2","unique","1",3602.53553483986
all,1990,"1","3","unique","1",2704.83552184985
all,1991,"1","3","unique","1",2256.48841498299
all,1992,"1","3","unique","1",1634.55297112521
all,1993,"1","3","unique","1",1664.55256732459
all,1994,"1","3","unique","1",2282.02273396659
all,1995,"1","3","unique","1",2420.69617175935
all,1996,"1","3","unique","1",2839.59522066554
all,1997,"1","3","unique","1",2720.6836788429
all,1998,"1","3","unique","1",2761.8970764339
all,1999,"1","3","unique","1",2453.56816832665
all,2000,"1","3","unique","1",2023.98995546781
all,2001,"1","3","unique","1",2362.82375222444
all,2002,"1","3","unique","1",2824.25937186156
all,2003,"1","3","unique","1",3670.78091353469
all,2004,"1","3","unique","1",3958.83667513042
all,2005,"1","3","unique","1",3107.54244045529
all,2006,"1","3","unique","1",3896.56688984787
all,2007,"1","3","unique","1",4687.90525688682
all,2008,"1","3","unique","1",3663.34951161615
all,1990,"1","4","unique","1",2902.07284114958
all,1991,"1","4","unique","1",1881.80217151607
all,1992,"1","4","unique","1",1423.88219652673
all,1993,"1","4","unique","1",1685.09407738061
all,1994,"1","4","unique","1",2474.95879925783
all,1995,"1","4","unique","1",3082.39428306493
all,1996,"1","4","unique","1",2771.45218125288
all,1997,"1","4","unique","1",2692.88526396526
all,1998,"1","4","unique","1",2379.02249147352
all,1999,"1","4","unique","1",2469.5130576131
all,2000,"1","4","unique","1",2037.3610084486
all,2001,"1","4","unique","1",2337.68040995455
all,2002,"1","4","unique","1",2798.2766459013
all,2003,"1","4","unique","1",3681.85132286475
all,2004,"1","4","unique","1",3965.64829470369
all,2005,"1","4","unique","1",3121.60778211381
all,2006,"1","4","unique","1",3910.83564091173
all,2007,"1","4","unique","1",4734.54973980934
all,2008,"1","4","unique","1",3684.00700858916
