"age","year","unit","season","area","iter","data"
"all",1990,"unique","1","unique","1",NA
"all",1991,"unique","1","unique","1",NA
"all",1992,"unique","1","unique","1",NA
"all",1993,"unique","1","unique","1",NA
"all",1994,"unique","1","unique","1",NA
"all",1995,"unique","1","unique","1",NA
"all",1996,"unique","1","unique","1",NA
"all",1997,"unique","1","unique","1",NA
"all",1998,"unique","1","unique","1",NA
"all",1999,"unique","1","unique","1",NA
"all",2000,"unique","1","unique","1",NA
"all",2001,"unique","1","unique","1",4753.5
"all",2002,"unique","1","unique","1",4626
"all",2003,"unique","1","unique","1",4657.5
"all",2004,"unique","1","unique","1",4033.5
"all",2005,"unique","1","unique","1",3763.5
"all",2006,"unique","1","unique","1",1629
"all",2007,"unique","1","unique","1",2710.5
"all",2008,"unique","1","unique","1",2512.5
"all",1990,"unique","2","unique","1",NA
"all",1991,"unique","2","unique","1",NA
"all",1992,"unique","2","unique","1",NA
"all",1993,"unique","2","unique","1",NA
"all",1994,"unique","2","unique","1",NA
"all",1995,"unique","2","unique","1",NA
"all",1996,"unique","2","unique","1",NA
"all",1997,"unique","2","unique","1",NA
"all",1998,"unique","2","unique","1",NA
"all",1999,"unique","2","unique","1",NA
"all",2000,"unique","2","unique","1",NA
"all",2001,"unique","2","unique","1",4864.5
"all",2002,"unique","2","unique","1",4969.5
"all",2003,"unique","2","unique","1",4285.5
"all",2004,"unique","2","unique","1",3945
"all",2005,"unique","2","unique","1",3312
"all",2006,"unique","2","unique","1",1611
"all",2007,"unique","2","unique","1",3037.5
"all",2008,"unique","2","unique","1",2218.5
"all",1990,"unique","3","unique","1",NA
"all",1991,"unique","3","unique","1",NA
"all",1992,"unique","3","unique","1",NA
"all",1993,"unique","3","unique","1",NA
"all",1994,"unique","3","unique","1",NA
"all",1995,"unique","3","unique","1",NA
"all",1996,"unique","3","unique","1",NA
"all",1997,"unique","3","unique","1",NA
"all",1998,"unique","3","unique","1",NA
"all",1999,"unique","3","unique","1",NA
"all",2000,"unique","3","unique","1",NA
"all",2001,"unique","3","unique","1",1962
"all",2002,"unique","3","unique","1",2769
"all",2003,"unique","3","unique","1",1965
"all",2004,"unique","3","unique","1",2164.5
"all",2005,"unique","3","unique","1",1669.5
"all",2006,"unique","3","unique","1",633
"all",2007,"unique","3","unique","1",1453.5
"all",2008,"unique","3","unique","1",1005
"all",1990,"unique","4","unique","1",NA
"all",1991,"unique","4","unique","1",NA
"all",1992,"unique","4","unique","1",NA
"all",1993,"unique","4","unique","1",NA
"all",1994,"unique","4","unique","1",NA
"all",1995,"unique","4","unique","1",NA
"all",1996,"unique","4","unique","1",NA
"all",1997,"unique","4","unique","1",NA
"all",1998,"unique","4","unique","1",NA
"all",1999,"unique","4","unique","1",NA
"all",2000,"unique","4","unique","1",NA
"all",2001,"unique","4","unique","1",4926
"all",2002,"unique","4","unique","1",4938
"all",2003,"unique","4","unique","1",3844.5
"all",2004,"unique","4","unique","1",3456
"all",2005,"unique","4","unique","1",3448.5
"all",2006,"unique","4","unique","1",1851
"all",2007,"unique","4","unique","1",2377.5
"all",2008,"unique","4","unique","1",2106
