"age","year","unit","season","area","iter","data"
0,1990,"1","1","unique","1",0.1
1,1990,"1","1","unique","1",0.1
2,1990,"1","1","unique","1",0.1
3,1990,"1","1","unique","1",0.1
4,1990,"1","1","unique","1",0.1
5,1990,"1","1","unique","1",0.1
6,1990,"1","1","unique","1",0.1
7,1990,"1","1","unique","1",0.1
8,1990,"1","1","unique","1",0.1
9,1990,"1","1","unique","1",0.1
10,1990,"1","1","unique","1",0.1
11,1990,"1","1","unique","1",0.1
12,1990,"1","1","unique","1",0.1
13,1990,"1","1","unique","1",0.1
14,1990,"1","1","unique","1",0.1
15,1990,"1","1","unique","1",0.1
0,1991,"1","1","unique","1",0.1
1,1991,"1","1","unique","1",0.1
2,1991,"1","1","unique","1",0.1
3,1991,"1","1","unique","1",0.1
4,1991,"1","1","unique","1",0.1
5,1991,"1","1","unique","1",0.1
6,1991,"1","1","unique","1",0.1
7,1991,"1","1","unique","1",0.1
8,1991,"1","1","unique","1",0.1
9,1991,"1","1","unique","1",0.1
10,1991,"1","1","unique","1",0.1
11,1991,"1","1","unique","1",0.1
12,1991,"1","1","unique","1",0.1
13,1991,"1","1","unique","1",0.1
14,1991,"1","1","unique","1",0.1
15,1991,"1","1","unique","1",0.1
0,1992,"1","1","unique","1",0.1
1,1992,"1","1","unique","1",0.1
2,1992,"1","1","unique","1",0.1
3,1992,"1","1","unique","1",0.1
4,1992,"1","1","unique","1",0.1
5,1992,"1","1","unique","1",0.1
6,1992,"1","1","unique","1",0.1
7,1992,"1","1","unique","1",0.1
8,1992,"1","1","unique","1",0.1
9,1992,"1","1","unique","1",0.1
10,1992,"1","1","unique","1",0.1
11,1992,"1","1","unique","1",0.1
12,1992,"1","1","unique","1",0.1
13,1992,"1","1","unique","1",0.1
14,1992,"1","1","unique","1",0.1
15,1992,"1","1","unique","1",0.1
0,1993,"1","1","unique","1",0.1
1,1993,"1","1","unique","1",0.1
2,1993,"1","1","unique","1",0.1
3,1993,"1","1","unique","1",0.1
4,1993,"1","1","unique","1",0.1
5,1993,"1","1","unique","1",0.1
6,1993,"1","1","unique","1",0.1
7,1993,"1","1","unique","1",0.1
8,1993,"1","1","unique","1",0.1
9,1993,"1","1","unique","1",0.1
10,1993,"1","1","unique","1",0.1
11,1993,"1","1","unique","1",0.1
12,1993,"1","1","unique","1",0.1
13,1993,"1","1","unique","1",0.1
14,1993,"1","1","unique","1",0.1
15,1993,"1","1","unique","1",0.1
0,1994,"1","1","unique","1",0.1
1,1994,"1","1","unique","1",0.1
2,1994,"1","1","unique","1",0.1
3,1994,"1","1","unique","1",0.1
4,1994,"1","1","unique","1",0.1
5,1994,"1","1","unique","1",0.1
6,1994,"1","1","unique","1",0.1
7,1994,"1","1","unique","1",0.1
8,1994,"1","1","unique","1",0.1
9,1994,"1","1","unique","1",0.1
10,1994,"1","1","unique","1",0.1
11,1994,"1","1","unique","1",0.1
12,1994,"1","1","unique","1",0.1
13,1994,"1","1","unique","1",0.1
14,1994,"1","1","unique","1",0.1
15,1994,"1","1","unique","1",0.1
0,1995,"1","1","unique","1",0.1
1,1995,"1","1","unique","1",0.1
2,1995,"1","1","unique","1",0.1
3,1995,"1","1","unique","1",0.1
4,1995,"1","1","unique","1",0.1
5,1995,"1","1","unique","1",0.1
6,1995,"1","1","unique","1",0.1
7,1995,"1","1","unique","1",0.1
8,1995,"1","1","unique","1",0.1
9,1995,"1","1","unique","1",0.1
10,1995,"1","1","unique","1",0.1
11,1995,"1","1","unique","1",0.1
12,1995,"1","1","unique","1",0.1
13,1995,"1","1","unique","1",0.1
14,1995,"1","1","unique","1",0.1
15,1995,"1","1","unique","1",0.1
0,1996,"1","1","unique","1",0.1
1,1996,"1","1","unique","1",0.1
2,1996,"1","1","unique","1",0.1
3,1996,"1","1","unique","1",0.1
4,1996,"1","1","unique","1",0.1
5,1996,"1","1","unique","1",0.1
6,1996,"1","1","unique","1",0.1
7,1996,"1","1","unique","1",0.1
8,1996,"1","1","unique","1",0.1
9,1996,"1","1","unique","1",0.1
10,1996,"1","1","unique","1",0.1
11,1996,"1","1","unique","1",0.1
12,1996,"1","1","unique","1",0.1
13,1996,"1","1","unique","1",0.1
