"age","year","unit","season","area","iter","data"
0,1990,"1","1","unique","1",1.44173086845388
0,1991,"1","1","unique","1",0.866776406328858
0,1992,"1","1","unique","1",0.891437376344559
0,1993,"1","1","unique","1",1.67072812604498
0,1994,"1","1","unique","1",1.12977707469414
0,1995,"1","1","unique","1",0.570270003955843
0,1996,"1","1","unique","1",1.25991691897738
0,1997,"1","1","unique","1",0.962429892079286
0,1998,"1","1","unique","1",1.91845784125096
0,1999,"1","1","unique","1",0.838244231698335
0,2000,"1","1","unique","1",0.699028220047946
0,2001,"1","1","unique","1",1.1668666473191
0,2002,"1","1","unique","1",0.945486582756636
0,2003,"1","1","unique","1",0.528973434913315
0,2004,"1","1","unique","1",1.13811539209939
0,2005,"1","1","unique","1",0.740439636374934
0,2006,"1","1","unique","1",1.12757434593067
0,2007,"1","1","unique","1",1.00759828909241
0,2008,"1","1","unique","1",1.09486798997473
0,2009,"1","1","unique","1",0.735000630178964
0,2010,"1","1","unique","1",0.957724914298173
0,2011,"1","1","unique","1",0.958161547787057
0,2012,"1","1","unique","1",0.88453372940078
0,2013,"1","1","unique","1",0.884481940134958
0,2014,"1","1","unique","1",0.871317080794472
0,2015,"1","1","unique","1",0.87124853450195
0,2016,"1","1","unique","1",0.869658294083422
0,2017,"1","1","unique","1",1.23724092015329
0,2018,"1","1","unique","1",1.27282852457047
0,2019,"1","1","unique","1",0.86015783844376
0,2020,"1","1","unique","1",0.9852704168076
0,2021,"1","1","unique","1",0.95856838911823
0,2022,"1","1","unique","1",0.947381958569199
0,2023,"1","1","unique","1",1.39711907238877
0,2024,"1","1","unique","1",1.0933515435142
0,2025,"1","1","unique","1",0.807229171518214
0,1990,"1","2","unique","1",1.44173086845388
0,1991,"1","2","unique","1",0.866776406328858
0,1992,"1","2","unique","1",0.891437376344559
0,1993,"1","2","unique","1",1.67072812604498
0,1994,"1","2","unique","1",1.12977707469414
0,1995,"1","2","unique","1",0.570270003955843
0,1996,"1","2","unique","1",1.25991691897738
0,1997,"1","2","unique","1",0.962429892079286
0,1998,"1","2","unique","1",1.91845784125096
0,1999,"1","2","unique","1",0.838244231698335
0,2000,"1","2","unique","1",0.699028220047946
0,2001,"1","2","unique","1",1.1668666473191
0,2002,"1","2","unique","1",0.945486582756636
0,2003,"1","2","unique","1",0.528973434913315
0,2004,"1","2","unique","1",1.13811539209939
0,2005,"1","2","unique","1",0.740439636374934
0,2006,"1","2","unique","1",1.12757434593067
0,2007,"1","2","unique","1",1.00759828909241
0,2008,"1","2","unique","1",1.09486798997473
0,2009,"1","2","unique","1",0.735000630178964
0,2010,"1","2","unique","1",0.957724914298173
0,2011,"1","2","unique","1",0.958161547787057
0,2012,"1","2","unique","1",0.88453372940078
0,2013,"1","2","unique","1",0.884481940134958
0,2014,"1","2","unique","1",0.871317080794472
0,2015,"1","2","unique","1",0.87124853450195
0,2016,"1","2","unique","1",0.869658294083422
0,2017,"1","2","unique","1",1.23724092015329
0,2018,"1","2","unique","1",1.27282852457047
0,2019,"1","2","unique","1",0.86015783844376
0,2020,"1","2","unique","1",0.9852704168076
0,2021,"1","2","unique","1",0.95856838911823
0,2022,"1","2","unique","1",0.947381958569199
0,2023,"1","2","unique","1",1.39711907238877
0,2024,"1","2","unique","1",1.0933515435142
0,2025,"1","2","unique","1",0.807229171518214
0,1990,"1","3","unique","1",1.44173086845388
0,1991,"1","3","unique","1",0.866776406328858
0,1992,"1","3","unique","1",0.891437376344559
0,1993,"1","3","unique","1",1.67072812604498
0,1994,"1","3","unique","1",1.12977707469414
0,1995,"1","3","unique","1",0.570270003955843
0,1996,"1","3","unique","1",1.25991691897738
0,1997,"1","3","unique","1",0.962429892079286
0,1998,"1","3","unique","1",1.91845784125096
0,1999,"1","3","unique","1",0.838244231698335
0,2000,"1","3","unique","1",0.699028220047946
0,2001,"1","3","unique","1",1.1668666473191
0,2002,"1","3","unique","1",0.945486582756636
0,2003,"1","3","unique","1",0.528973434913315
0,2004,"1","3","unique","1",1.13811539209939
0,2005,"1","3","unique","1",0.740439636374934
0,2006,"1","3","unique","1",1.12757434593067
0,2007,"1","3","unique","1",1.00759828909241
0,2008,"1","3","unique","1",1.09486798997473
0,2009,"1","3","unique","1",0.735000630178964
0,2010,"1","3","unique","1",0.957724914298173
0,2011,"1","3","unique","1",0.958161547787057
0,2012,"1","3","unique","1",0.88453372940078
0,2013,"1","3","unique","1",0.884481940134958
0,2014,"1","3","unique","1",0.871317080794472
0,2015,"1","3","unique","1",0.87124853450195
