"age","year","unit","season","area","iter","data"
"all",1990,"1","1","unique","1",22252.5970196535
"all",1991,"1","1","unique","1",22269.3443669078
"all",1992,"1","1","unique","1",26679.6902689617
"all",1993,"1","1","unique","1",37569.069598131
"all",1994,"1","1","unique","1",50369.7865957767
"all",1995,"1","1","unique","1",59484.2754139411
"all",1996,"1","1","unique","1",62624.5583940868
"all",1997,"1","1","unique","1",62713.4596004456
"all",1998,"1","1","unique","1",63194.562543416
"all",1999,"1","1","unique","1",65164.4055095437
"all",2000,"1","1","unique","1",67703.6964797212
"all",2001,"1","1","unique","1",71924.4995652424
"all",2002,"1","1","unique","1",71514.1533220617
"all",2003,"1","1","unique","1",69103.7322892214
"all",2004,"1","1","unique","1",63811.0640508057
"all",2005,"1","1","unique","1",58196.1204076669
"all",2006,"1","1","unique","1",59203.9820466591
"all",2007,"1","1","unique","1",57449.6749158194
"all",2008,"1","1","unique","1",52020.5100148067
"all",1990,"1","2","unique","1",22098.88650703
"all",1991,"1","2","unique","1",23514.0674067409
"all",1992,"1","2","unique","1",29275.4249636232
"all",1993,"1","2","unique","1",40969.919150406
"all",1994,"1","2","unique","1",53503.9977732898
"all",1995,"1","2","unique","1",61539.0693834752
"all",1996,"1","2","unique","1",63136.8387619524
"all",1997,"1","2","unique","1",63241.7378717626
"all",1998,"1","2","unique","1",64353.2472789038
"all",1999,"1","2","unique","1",66247.0371324818
"all",2000,"1","2","unique","1",69318.7304521854
"all",2001,"1","2","unique","1",72092.3587408965
"all",2002,"1","2","unique","1",71074.955231884
"all",2003,"1","2","unique","1",67880.163532499
"all",2004,"1","2","unique","1",62576.5555254632
"all",2005,"1","2","unique","1",58819.7024693865
"all",2006,"1","2","unique","1",59162.2881686538
"all",2007,"1","2","unique","1",56504.3106053648
"all",2008,"1","2","unique","1",52549.185222913
"all",1990,"1","3","unique","1",22074.1761253659
"all",1991,"1","3","unique","1",24040.6290924566
"all",1992,"1","3","unique","1",31506.6009302996
"all",1993,"1","3","unique","1",44297.0173656417
"all",1994,"1","3","unique","1",55577.475597431
"all",1995,"1","3","unique","1",61694.0966949249
"all",1996,"1","3","unique","1",62666.180333922
"all",1997,"1","3","unique","1",62764.8680572074
"all",1998,"1","3","unique","1",64426.7180554382
"all",1999,"1","3","unique","1",66645.8309908587
"all",2000,"1","3","unique","1",70235.8567801023
"all",2001,"1","3","unique","1",71730.4710670743
"all",2002,"1","3","unique","1",70138.1304491275
"all",2003,"1","3","unique","1",66124.6462326035
"all",2004,"1","3","unique","1",60745.0054852201
"all",2005,"1","3","unique","1",58791.4793876837
"all",2006,"1","3","unique","1",58382.1340781467
"all",2007,"1","3","unique","1",54727.4342696621
"all",2008,"1","3","unique","1",52334.1588396786
"all",1990,"1","4","unique","1",22240.5347886937
"all",1991,"1","4","unique","1",24947.4751638217
"all",1992,"1","4","unique","1",34283.3811503399
"all",1993,"1","4","unique","1",47375.5861615796
"all",1994,"1","4","unique","1",57530.8727324009
"all",1995,"1","4","unique","1",62529.8784768517
"all",1996,"1","4","unique","1",62555.7818202373
"all",1997,"1","4","unique","1",63005.5775049863
"all",1998,"1","4","unique","1",64536.6719615716
"all",1999,"1","4","unique","1",67183.0093749701
"all",2000,"1","4","unique","1",71151.9291542416
"all",2001,"1","4","unique","1",71615.3135685483
"all",2002,"1","4","unique","1",69562.3570485397
"all",2003,"1","4","unique","1",64864.697368062
"all",2004,"1","4","unique","1",59390.247935579
"all",2005,"1","4","unique","1",58996.3336267054
"all",2006,"1","4","unique","1",57903.465850047
"all",2007,"1","4","unique","1",53345.5248103691
"all",2008,"1","4","unique","1",52372.0729936977
