"age","year","unit","season","area","iter","data"
1,1990,"unique","all","unique","1",1583.2147680041
2,1990,"unique","all","unique","1",1410.55396147468
3,1990,"unique","all","unique","1",1124.77330664973
4,1990,"unique","all","unique","1",984.543930043381
5,1990,"unique","all","unique","1",763.608687046934
6,1990,"unique","all","unique","1",499.769188395668
7,1990,"unique","all","unique","1",294.763838304397
8,1990,"unique","all","unique","1",168.219429546263
9,1990,"unique","all","unique","1",67.7467895967471
10,1990,"unique","all","unique","1",27.8483087725568
11,1990,"unique","all","unique","1",9.80295524275067
12,1990,"unique","all","unique","1",4.1500533591682
1,1991,"unique","all","unique","1",1625.18886265481
2,1991,"unique","all","unique","1",1287.86798605674
3,1991,"unique","all","unique","1",1116.84557730402
4,1991,"unique","all","unique","1",855.110840406093
5,1991,"unique","all","unique","1",729.308129542722
6,1991,"unique","all","unique","1",541.744036798595
7,1991,"unique","all","unique","1",338.739301392751
8,1991,"unique","all","unique","1",193.241993392526
9,1991,"unique","all","unique","1",106.166687965976
10,1991,"unique","all","unique","1",40.0132305057677
11,1991,"unique","all","unique","1",15.3959869094349
12,1991,"unique","all","unique","1",5.54149717064388
1,1992,"unique","all","unique","1",1562.29804833991
2,1992,"unique","all","unique","1",1323.93338355279
3,1992,"unique","all","unique","1",1028.31862802446
4,1992,"unique","all","unique","1",865.654192184567
5,1992,"unique","all","unique","1",649.849911859319
6,1992,"unique","all","unique","1",532.817559399229
7,1992,"unique","all","unique","1",380.254574220033
8,1992,"unique","all","unique","1",230.095305893776
9,1992,"unique","all","unique","1",120.995109598299
10,1992,"unique","all","unique","1",58.8436863430084
11,1992,"unique","all","unique","1",19.5592795008734
12,1992,"unique","all","unique","1",7.44243034173826
1,1993,"unique","all","unique","1",1762.8183701274
2,1993,"unique","all","unique","1",1270.43247715379
3,1993,"unique","all","unique","1",1038.34915163198
4,1993,"unique","all","unique","1",767.060604625177
5,1993,"unique","all","unique","1",630.194648607842
6,1993,"unique","all","unique","1",456.808843742839
7,1993,"unique","all","unique","1",360.032254519674
8,1993,"unique","all","unique","1",243.116038137153
9,1993,"unique","all","unique","1",125.994905170786
10,1993,"unique","all","unique","1",53.7278612680958
11,1993,"unique","all","unique","1",22.2497518554041
12,1993,"unique","all","unique","1",7.13161389413719
1,1994,"unique","all","unique","1",1659.51983868921
2,1994,"unique","all","unique","1",1434.37461159343
3,1994,"unique","all","unique","1",987.999899072734
4,1994,"unique","all","unique","1",747.517667844233
5,1994,"unique","all","unique","1",532.617923440981
6,1994,"unique","all","unique","1",420.470724578541
7,1994,"unique","all","unique","1",289.831293847291
8,1994,"unique","all","unique","1",212.293007369792
9,1994,"unique","all","unique","1",118.260953149276
10,1994,"unique","all","unique","1",47.7667352777794
11,1994,"unique","all","unique","1",16.6451996086867
12,1994,"unique","all","unique","1",6.67106495427548
1,1995,"unique","all","unique","1",1486.59590322158
2,1995,"unique","all","unique","1",1352.21707289204
3,1995,"unique","all","unique","1",1127.72838043972
4,1995,"unique","all","unique","1",702.278642095945
5,1995,"unique","all","unique","1",485.900322196451
6,1995,"unique","all","unique","1",317.068431722304
7,1995,"unique","all","unique","1",234.641821350333
8,1995,"unique","all","unique","1",148.985871444065
9,1995,"unique","all","unique","1",88.6526671302912
10,1995,"unique","all","unique","1",35.6428795984958
11,1995,"unique","all","unique","1",11.3961039064286
12,1995,"unique","all","unique","1",4.03581197734899
1,1996,"unique","all","unique","1",1443.39159173463
2,1996,"unique","all","unique","1",1198.04593645055
3,1996,"unique","all","unique","1",1020.53706607389
4,1996,"unique","all","unique","1",757.888142929114
5,1996,"unique","all","unique","1",434.774128113342
6,1996,"unique","all","unique","1",297.487668361333
7,1996,"unique","all","unique","1",195.184989916243
8,1996,"unique","all","unique","1",140.944088055733
9,1996,"unique","all","unique","1",79.2924662976156
10,1996,"unique","all","unique","1",39.163740787599
11,1996,"unique","all","unique","1",12.8971973904467
12,1996,"unique","all","unique","1",4.01913800354869
1,1997,"unique","all","unique","1",1247.08961314682
2,1997,"unique","all","unique","1",1156.98384138303
3,1997,"unique","all","unique","1",881.626673778461
4,1997,"unique","all","unique","1",650.907380126207
5,1997,"unique","all","unique","1",431.113140253149
6,1997,"unique","all","unique","1",234.477083504388
7,1997,"unique","all","unique","1",157.999058801679
8,1997,"unique","all","unique","1",98.5069155077696
9,1997,"unique","all","unique","1",59.519816269674
10,1997,"unique","all","unique","1",25.9203915634919
